project_id	project_code	TP53	KRAS	BRAF	IDH1	IDH2	PIK3CA	APC	PTEN	NF1	BAP1	VHL	RB1	CDKN2A	SMAD4	ARID1A	TERT	EGFR	ERBB2	ALK	MET	MYC	CTNNB1	POLE	MSH2	MSH6	MLH1	PMS2	BRCA1	BRCA2
TCGA-KICH	KICH	0.318181818181818	0	0	0	0	0	0	0.0909090909090909	0.0151515151515152	0	0.0151515151515152	0.0303030303030303	0	0	0	0	0	0	0.0151515151515152	0	0	0.0151515151515152	0.0151515151515152	0	0	0	0	0	0
TCGA-KIRC	KIRC	0.0324324324324324	0.00540540540540541	0.0027027027027027	0.00540540540540541	0.0027027027027027	0.0162162162162162	0.0162162162162162	0.0378378378378378	0.0216216216216216	0.102702702702703	0.464864864864865	0.00540540540540541	0	0	0.0378378378378378	0.00810810810810811	0.00540540540540541	0.00810810810810811	0.0108108108108108	0.00810810810810811	0	0.0027027027027027	0.0162162162162162	0.0027027027027027	0.00540540540540541	0.0027027027027027	0.0027027027027027	0.0108108108108108	0.0216216216216216
TCGA-KIRP	KIRP	0.024822695035461	0.0177304964539007	0.0141843971631206	0	0.00709219858156028	0.0106382978723404	0.0141843971631206	0.0283687943262411	0.0212765957446809	0.0531914893617021	0.0106382978723404	0	0.00354609929078014	0.00709219858156028	0.0425531914893617	0.0283687943262411	0.00354609929078014	0.0106382978723404	0.0106382978723404	0.0780141843971631	0	0.00709219858156028	0.00354609929078014	0.0177304964539007	0.00709219858156028	0.00709219858156028	0.00354609929078014	0.0106382978723404	0.024822695035461
TCGA-LAML	LAML	0.0642857142857143	0.0428571428571429	0	0.0357142857142857	0.0571428571428571	0	0.0285714285714286	0	0.0285714285714286	0	0	0	0	0.00714285714285714	0.00714285714285714	0	0	0.00714285714285714	0.0142857142857143	0	0.0142857142857143	0	0.0142857142857143	0	0.00714285714285714	0	0.00714285714285714	0	0.0142857142857143
TCGA-LGG	LGG	0.490494296577947	0.00380228136882129	0.00570342205323194	0.775665399239544	0.0399239543726236	0.0855513307984791	0.00380228136882129	0.0437262357414449	0.0608365019011407	0	0	0.0133079847908745	0.00570342205323194	0	0.0361216730038023	0.00380228136882129	0.0684410646387833	0.00190114068441065	0.00190114068441065	0.00950570342205323	0	0.00570342205323194	0.00760456273764259	0.00380228136882129	0.00380228136882129	0.00380228136882129	0.00570342205323194	0.00570342205323194	0.0152091254752852
TCGA-LIHC	LIHC	0.301369863013699	0.0136986301369863	0	0.0219178082191781	0.00821917808219178	0.0356164383561644	0.0328767123287671	0.0191780821917808	0.0356164383561644	0.0547945205479452	0	0.052054794520548	0.0246575342465753	0.010958904109589	0.0794520547945206	0.00547945205479452	0.0164383561643836	0.00273972602739726	0.0246575342465753	0.00547945205479452	0.00273972602739726	0.263013698630137	0.00821917808219178	0.00273972602739726	0.0136986301369863	0.00273972602739726	0.00547945205479452	0.010958904109589	0.0219178082191781
TCGA-LUAD	LUAD	0.513181019332162	0.295254833040422	0.0738137082601054	0.0105448154657293	0.00175746924428823	0.0492091388400703	0.0597539543057996	0.0175746924428823	0.115992970123023	0.0140597539543058	0.00175746924428823	0.0597539543057996	0.0439367311072056	0.0404217926186292	0.0615114235500879	0.0105448154657293	0.126537785588752	0.0175746924428823	0.0615114235500879	0.0369068541300527	0.0070298769771529	0.0369068541300527	0.0492091388400703	0.0175746924428823	0.0175746924428823	0.0140597539543058	0.015817223198594	0.0351493848857645	0.0562390158172232
TCGA-LUSC	LUSC	0.835051546391753	0.0164948453608247	0.0329896907216495	0.00618556701030928	0	0.115463917525773	0.0556701030927835	0.107216494845361	0.115463917525773	0.0103092783505155	0.00206185567010309	0.0680412371134021	0.150515463917526	0.0185567010309278	0.0680412371134021	0.0144329896907217	0.0247422680412371	0.0185567010309278	0.0412371134020619	0.0164948453608247	0.00824742268041237	0.0123711340206186	0.0536082474226804	0.00824742268041237	0.0164948453608247	0.0185567010309278	0.0144329896907217	0.0474226804123711	0.065979381443299
TCGA-MESO	MESO	0.170731707317073	0.0121951219512195	0.0121951219512195	0	0	0.024390243902439	0	0.024390243902439	0	0.219512195121951	0	0.0121951219512195	0	0	0.0121951219512195	0.0121951219512195	0	0	0.0121951219512195	0	0.0121951219512195	0	0.0121951219512195	0.0121951219512195	0.0121951219512195	0	0.0121951219512195	0	0
TCGA-OV	OV	0.905339805825243	0.0145631067961165	0.00485436893203884	0.00242718446601942	0.00485436893203884	0.0194174757281553	0.0242718446601942	0.0169902912621359	0.0728155339805825	0.0121359223300971	0	0.0388349514563107	0.00485436893203884	0.00970873786407767	0.00970873786407767	0.00242718446601942	0.0145631067961165	0.0121359223300971	0.0242718446601942	0.0121359223300971	0.00485436893203884	0.00242718446601942	0.00485436893203884	0.00970873786407767	0.00728155339805825	0.00970873786407767	0.00242718446601942	0.0436893203883495	0.0364077669902913
TCGA-PAAD	PAAD	0.612359550561798	0.668539325842697	0.0112359550561798	0.00561797752808989	0.00561797752808989	0.0280898876404494	0.0224719101123596	0	0.0168539325842697	0.0112359550561798	0	0.00561797752808989	0.202247191011236	0.207865168539326	0.050561797752809	0.0168539325842697	0.00561797752808989	0.0112359550561798	0.0112359550561798	0.00561797752808989	0	0.0224719101123596	0.0112359550561798	0.00561797752808989	0.00561797752808989	0.00561797752808989	0.00561797752808989	0.0112359550561798	0.0112359550561798
TCGA-PCPG	PCPG	0.00543478260869565	0	0.00543478260869565	0.00543478260869565	0	0	0.00543478260869565	0	0.0869565217391304	0	0.016304347826087	0	0.00543478260869565	0	0	0	0	0	0.00543478260869565	0	0	0	0.00543478260869565	0	0	0	0	0	0.00543478260869565
TCGA-PRAD	PRAD	0.118473895582329	0.00401606425702811	0.0140562248995984	0.0100401606425703	0	0.0220883534136546	0.0220883534136546	0.036144578313253	0.00602409638554217	0	0.00602409638554217	0.00602409638554217	0.00200803212851406	0.0100401606425703	0.00803212851405622	0	0.00602409638554217	0.00602409638554217	0.00401606425702811	0.00803212851405622	0.00200803212851406	0.0220883534136546	0.00803212851405622	0.00401606425702811	0.00602409638554217	0.00401606425702811	0.00200803212851406	0.00200803212851406	0.0160642570281124
TCGA-READ	READ	0.728476821192053	0.397350993377483	0.033112582781457	0.00662251655629139	0.0132450331125828	0.145695364238411	0.801324503311258	0.0596026490066225	0.0529801324503311	0.00662251655629139	0.00662251655629139	0.033112582781457	0	0.145695364238411	0.0596026490066225	0.00662251655629139	0.0198675496688742	0.0463576158940397	0.0198675496688742	0.0264900662251656	0.00662251655629139	0.0463576158940397	0.0397350993377483	0.033112582781457	0.0397350993377483	0.0264900662251656	0.033112582781457	0.0198675496688742	0.0662251655629139
TCGA-SARC	SARC	0.364016736401674	0.00836820083682008	0.00418410041841004	0.00836820083682008	0	0.0292887029288703	0.0251046025104603	0.0251046025104603	0.0418410041841004	0	0	0.104602510460251	0.00418410041841004	0.00836820083682008	0.0125523012552301	0.0167364016736402	0.0167364016736402	0.00418410041841004	0.0125523012552301	0.0167364016736402	0.00418410041841004	0.00418410041841004	0.0167364016736402	0	0	0.00418410041841004	0.00836820083682008	0	0.0167364016736402
TCGA-SKCM	SKCM	0.153846153846154	0.0277777777777778	0.523504273504274	0.0555555555555556	0.00427350427350427	0.047008547008547	0.136752136752137	0.0982905982905983	0.173076923076923	0.0363247863247863	0.0106837606837607	0.0448717948717949	0.13034188034188	0.014957264957265	0.0790598290598291	0.0384615384615385	0.0726495726495727	0.061965811965812	0.143162393162393	0.0854700854700855	0.0235042735042735	0.0662393162393162	0.0897435897435897	0.0235042735042735	0.0363247863247863	0.0299145299145299	0.0534188034188034	0.061965811965812	0.111111111111111
TCGA-STAD	STAD	0.4874715261959	0.0911161731207289	0.0318906605922551	0.00911161731207289	0.00455580865603645	0.161731207289294	0.116173120728929	0.0751708428246014	0.0728929384965831	0.0296127562642369	0.00683371298405467	0.0341685649202734	0.041002277904328	0.0751708428246014	0.252847380410023	0.0136674259681093	0.0478359908883827	0.0523917995444191	0.041002277904328	0.0182232346241458	0.0159453302961276	0.0592255125284738	0.0637813211845103	0.0227790432801822	0.0296127562642369	0.0250569476082005	0.0159453302961276	0.0318906605922551	0.0865603644646925
TCGA-TGCT	TGCT	0.00662251655629139	0.0860927152317881	0	0	0	0.0198675496688742	0.00662251655629139	0	0.0132450331125828	0.00662251655629139	0	0	0	0	0.00662251655629139	0	0.00662251655629139	0.00662251655629139	0	0	0	0	0	0	0.00662251655629139	0	0	0	0
TCGA-THCA	THCA	0.006	0.008	0.592	0	0	0.008	0.006	0.004	0.006	0.002	0	0.004	0.002	0	0.002	0.006	0	0	0.002	0.002	0	0.002	0	0.002	0	0	0	0.002	0.004
TCGA-THYM	THYM	0.032520325203252	0.00813008130081301	0	0.00813008130081301	0	0	0	0	0.016260162601626	0.00813008130081301	0.016260162601626	0	0	0	0	0	0	0.00813008130081301	0	0	0	0.00813008130081301	0	0.00813008130081301	0	0.00813008130081301	0	0	0.016260162601626
TCGA-UCEC	UCEC	0.384180790960452	0.192090395480226	0.0470809792843691	0.0376647834274953	0.0489642184557439	0.500941619585687	0.143126177024482	0.645951035781544	0.135593220338983	0.0564971751412429	0.0112994350282486	0.128060263653484	0.0150659133709981	0.0376647834274953	0.433145009416196	0.0395480225988701	0.0677966101694915	0.0715630885122411	0.0941619585687382	0.101694915254237	0.0376647834274953	0.250470809792844	0.154425612052731	0.0772128060263654	0.111111111111111	0.064030131826742	0.0677966101694915	0.0885122410546139	0.148775894538606
TCGA-UCS	UCS	0.912280701754386	0.12280701754386	0.0175438596491228	0	0.0175438596491228	0.350877192982456	0.0175438596491228	0.192982456140351	0.0701754385964912	0	0	0.087719298245614	0.0175438596491228	0.0175438596491228	0.12280701754386	0	0	0.0175438596491228	0.0175438596491228	0.0350877192982456	0.0350877192982456	0	0.0175438596491228	0	0.0350877192982456	0	0	0	0.0526315789473684
TCGA-UVM	UVM	0	0	0	0	0	0	0.025	0	0	0.1625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125
