project_id	project_code	n_samples	median_purity	median_ploidy	median_aneuploidy_score	median_fraction_genome_altered	median_arm_gain_count	median_arm_loss_count	median_total_arm_alteration_count	median_copy_number_complexity_score	missingness_purity	missingness_ploidy	missingness_aneuploidy_score	missingness_fraction_genome_altered	missingness_arm_gain_count	missingness_arm_loss_count	missingness_total_arm_alteration_count	missingness_copy_number_complexity_score
TCGA-LUAD	LUAD	569	0.45	2.765	16	NA	5	9	16	NA	0.131810193321617	0.131810193321617	0.123022847100176	1	0.123022847100176	0.123022847100176	0.123022847100176	1
TCGA-LUSC	LUSC	485	0.5	2.73	16	NA	5	10	16	NA	0.0371134020618557	0.0371134020618557	0.0350515463917526	1	0.0350515463917526	0.0350515463917526	0.0350515463917526	1
TCGA-MESO	MESO	82	0.635	1.945	6	NA	1	4	6	NA	0.024390243902439	0.024390243902439	0.024390243902439	1	0.024390243902439	0.024390243902439	0.024390243902439	1
TCGA-OV	OV	412	0.805	2.695	13	NA	3	8	13	NA	0.0533980582524272	0.0533980582524272	0.0461165048543689	1	0.0461165048543689	0.0461165048543689	0.0461165048543689	1
TCGA-PAAD	PAAD	178	0.4	2	7	NA	1	6	7	NA	0.0898876404494382	0.0898876404494382	0.0898876404494382	1	0.0898876404494382	0.0898876404494382	0.0898876404494382	1
TCGA-PCPG	PCPG	184	0.74	1.94	4	NA	0	3	4	NA	0.108695652173913	0.108695652173913	0.108695652173913	1	0.108695652173913	0.108695652173913	0.108695652173913	1
TCGA-PRAD	PRAD	498	0.61	1.98	1	NA	0	1	1	NA	0.0562248995983936	0.0562248995983936	0.0522088353413655	1	0.0522088353413655	0.0522088353413655	0.0522088353413655	1
TCGA-READ	READ	151	0.665	2.395	13	NA	5	7	13	NA	0.112582781456954	0.112582781456954	0.0927152317880795	1	0.0927152317880795	0.0927152317880795	0.0927152317880795	1
TCGA-SARC	SARC	239	0.78	2.12	10	NA	2	6	10	NA	0.0376569037656904	0.0376569037656904	0.0376569037656904	1	0.0376569037656904	0.0376569037656904	0.0376569037656904	1
TCGA-SKCM	SKCM	468	0.7	2.13	11	NA	4	6	11	NA	0.0213675213675214	0.0213675213675214	0.0213675213675214	1	0.0213675213675214	0.0213675213675214	0.0213675213675214	1
TCGA-STAD	STAD	439	0.52	2.15	10	NA	4	5	10	NA	0.041002277904328	0.041002277904328	0.0364464692482916	1	0.0364464692482916	0.0364464692482916	0.0364464692482916	1
TCGA-TGCT	TGCT	151	0.6	2.855	19	NA	6	12.5	19	NA	0.00662251655629139	0.00662251655629139	0.00662251655629139	1	0.00662251655629139	0.00662251655629139	0.00662251655629139	1
TCGA-THCA	THCA	500	0.67	2	0	NA	0	0	0	NA	0.094	0.094	0.07	1	0.07	0.07	0.07	1
TCGA-THYM	THYM	123	0.39	2	0	NA	0	0	0	NA	0.138211382113821	0.138211382113821	0.138211382113821	1	0.138211382113821	0.138211382113821	0.138211382113821	1
TCGA-UCEC	UCEC	531	0.76	2.04	3	NA	1	0	3	NA	0.0903954802259887	0.0903954802259887	0.0489642184557439	1	0.0489642184557439	0.0489642184557439	0.0489642184557439	1
TCGA-UCS	UCS	57	0.855	3.19	19	NA	7	9	19	NA	0.0175438596491228	0.0175438596491228	0.0175438596491228	1	0.0175438596491228	0.0175438596491228	0.0175438596491228	1
TCGA-UVM	UVM	80	0.95	2.03	4	NA	2	2	4	NA	0	0	0	1	0	0	0	1
