qc_section	group_name	feature_name	metric	value
per_feature	carcinoma_all	median_total_arm_alteration_count	imputed_value	10
per_feature	carcinoma_all	median_total_arm_alteration_count	n_imputed_values	0
per_feature	carcinoma_all	median_total_arm_alteration_count	retained_for_group_tree	TRUE
per_feature	carcinoma_all	median_total_arm_alteration_count	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_ALK	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_ALK	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_ALK	n_unique_non_missing	20
per_feature	carcinoma_all	mutation_prevalence_ALK	raw_sd	0.0242322426927511
per_feature	carcinoma_all	mutation_prevalence_ALK	imputed_value	0.0244646894533848
per_feature	carcinoma_all	mutation_prevalence_ALK	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_ALK	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_ALK	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_APC	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_APC	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_APC	n_unique_non_missing	20
per_feature	carcinoma_all	mutation_prevalence_APC	raw_sd	0.223977045396858
per_feature	carcinoma_all	mutation_prevalence_APC	imputed_value	0.0353572750833024
per_feature	carcinoma_all	mutation_prevalence_APC	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_APC	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_APC	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_ARID1A	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_ARID1A	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_ARID1A	n_unique_non_missing	20
per_feature	carcinoma_all	mutation_prevalence_ARID1A	raw_sd	0.106812459678692
per_feature	carcinoma_all	mutation_prevalence_ARID1A	imputed_value	0.0605570362783552
per_feature	carcinoma_all	mutation_prevalence_ARID1A	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_ARID1A	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_ARID1A	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_BAP1	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_BAP1	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_BAP1	n_unique_non_missing	18
per_feature	carcinoma_all	mutation_prevalence_BAP1	raw_sd	0.046207708225743
per_feature	carcinoma_all	mutation_prevalence_BAP1	imputed_value	0.0130978381422014
per_feature	carcinoma_all	mutation_prevalence_BAP1	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_BAP1	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_BAP1	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_BRAF	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_BRAF	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_BRAF	n_unique_non_missing	19
per_feature	carcinoma_all	mutation_prevalence_BRAF	raw_sd	0.130448789021478
per_feature	carcinoma_all	mutation_prevalence_BRAF	imputed_value	0.0159330630216389
per_feature	carcinoma_all	mutation_prevalence_BRAF	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_BRAF	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_BRAF	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_BRCA1	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_BRCA1	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_BRCA1	n_unique_non_missing	18
per_feature	carcinoma_all	mutation_prevalence_BRCA1	raw_sd	0.0227228117584013
per_feature	carcinoma_all	mutation_prevalence_BRCA1	imputed_value	0.0207392758167554
per_feature	carcinoma_all	mutation_prevalence_BRCA1	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_BRCA1	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_BRCA1	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_BRCA2	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_BRCA2	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_BRCA2	n_unique_non_missing	20
per_feature	carcinoma_all	mutation_prevalence_BRCA2	raw_sd	0.0361011464322058
per_feature	carcinoma_all	mutation_prevalence_BRCA2	imputed_value	0.0371228024140645
per_feature	carcinoma_all	mutation_prevalence_BRCA2	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_BRCA2	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_BRCA2	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_CDKN2A	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_CDKN2A	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_CDKN2A	n_unique_non_missing	17
per_feature	carcinoma_all	mutation_prevalence_CDKN2A	raw_sd	0.06566476896055
per_feature	carcinoma_all	mutation_prevalence_CDKN2A	imputed_value	0.0178422350360145
per_feature	carcinoma_all	mutation_prevalence_CDKN2A	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_CDKN2A	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_CDKN2A	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_CTNNB1	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_CTNNB1	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_CTNNB1	n_unique_non_missing	20
per_feature	carcinoma_all	mutation_prevalence_CTNNB1	raw_sd	0.0748642289489848
per_feature	carcinoma_all	mutation_prevalence_CTNNB1	imputed_value	0.0196352419989235
per_feature	carcinoma_all	mutation_prevalence_CTNNB1	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_CTNNB1	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_CTNNB1	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_EGFR	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_EGFR	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_EGFR	n_unique_non_missing	18
per_feature	carcinoma_all	mutation_prevalence_EGFR	raw_sd	0.0294852622806228
per_feature	carcinoma_all	mutation_prevalence_EGFR	imputed_value	0.01673499316735
per_feature	carcinoma_all	mutation_prevalence_EGFR	n_imputed_values	0
per_feature	carcinoma_all	mutation_prevalence_EGFR	retained_for_group_tree	TRUE
per_feature	carcinoma_all	mutation_prevalence_EGFR	drop_reason	
per_feature	carcinoma_all	mutation_prevalence_ERBB2	missing_fraction	0
per_feature	carcinoma_all	mutation_prevalence_ERBB2	n_missing_projects	0
per_feature	carcinoma_all	mutation_prevalence_ERBB2	n_unique_non_missing	19
per_feature	carcinoma_all	mutation_prevalence_ERBB2	raw_sd	0.0310356632578631
