qc_section	project_id	project_code	metric	value
per_project	TCGA-CESC	CESC	median_proliferation_score	1.33650397999773
per_project	TCGA-CESC	CESC	median_immune_inflammatory_score	-0.044046085770732
per_project	TCGA-CESC	CESC	median_interferon_gamma_score	0.13957355669605
per_project	TCGA-CESC	CESC	median_cytotoxic_t_cell_score	-0.000772288942994332
per_project	TCGA-CESC	CESC	median_stromal_score	-0.375144711731889
per_project	TCGA-CESC	CESC	median_epithelial_score	0.0872086672195835
per_project	TCGA-CESC	CESC	median_EMT_score	-0.339702706655399
per_project	TCGA-CESC	CESC	median_hypoxia_score	0.223761997413661
per_project	TCGA-CESC	CESC	median_cell_cycle_score	1.23560003079649
per_project	TCGA-CESC	CESC	median_DNA_repair_score	0.600633395420037
per_project	TCGA-CESC	CESC	median_angiogenesis_score	-0.392067125974215
per_project	TCGA-CESC	CESC	median_lineage_or_tissue_PC1	-5.01335536997508
per_project	TCGA-CESC	CESC	median_lineage_or_tissue_PC2	1.35124100640409
per_project	TCGA-CESC	CESC	missingness_proliferation_score	0
per_project	TCGA-CESC	CESC	missingness_immune_inflammatory_score	0
per_project	TCGA-CESC	CESC	missingness_interferon_gamma_score	0
per_project	TCGA-CESC	CESC	missingness_cytotoxic_t_cell_score	0
per_project	TCGA-CESC	CESC	missingness_stromal_score	0
per_project	TCGA-CESC	CESC	missingness_epithelial_score	0
per_project	TCGA-CESC	CESC	missingness_EMT_score	0
per_project	TCGA-CESC	CESC	missingness_hypoxia_score	0
per_project	TCGA-CESC	CESC	missingness_cell_cycle_score	0
per_project	TCGA-CESC	CESC	missingness_DNA_repair_score	0
per_project	TCGA-CESC	CESC	missingness_angiogenesis_score	0
per_project	TCGA-CESC	CESC	missingness_lineage_or_tissue_PC1	0
per_project	TCGA-CESC	CESC	missingness_lineage_or_tissue_PC2	0
per_project	TCGA-CHOL	CHOL	n_samples	36
per_project	TCGA-CHOL	CHOL	median_proliferation_score	-0.519147615138381
per_project	TCGA-CHOL	CHOL	median_immune_inflammatory_score	-0.240592637908451
per_project	TCGA-CHOL	CHOL	median_interferon_gamma_score	-0.197004849005536
per_project	TCGA-CHOL	CHOL	median_cytotoxic_t_cell_score	-0.226816937508778
per_project	TCGA-CHOL	CHOL	median_stromal_score	-0.220004067561394
per_project	TCGA-CHOL	CHOL	median_epithelial_score	0.657659188004092
per_project	TCGA-CHOL	CHOL	median_EMT_score	-0.144536510970547
per_project	TCGA-CHOL	CHOL	median_hypoxia_score	-0.171415991709808
per_project	TCGA-CHOL	CHOL	median_cell_cycle_score	-0.536225887978251
per_project	TCGA-CHOL	CHOL	median_DNA_repair_score	-0.303923647764914
per_project	TCGA-CHOL	CHOL	median_angiogenesis_score	-0.218346706408118
per_project	TCGA-CHOL	CHOL	median_lineage_or_tissue_PC1	1.66454962379835
per_project	TCGA-CHOL	CHOL	median_lineage_or_tissue_PC2	1.11126537761809
per_project	TCGA-CHOL	CHOL	missingness_proliferation_score	0
per_project	TCGA-CHOL	CHOL	missingness_immune_inflammatory_score	0
per_project	TCGA-CHOL	CHOL	missingness_interferon_gamma_score	0
per_project	TCGA-CHOL	CHOL	missingness_cytotoxic_t_cell_score	0
per_project	TCGA-CHOL	CHOL	missingness_stromal_score	0
per_project	TCGA-CHOL	CHOL	missingness_epithelial_score	0
per_project	TCGA-CHOL	CHOL	missingness_EMT_score	0
per_project	TCGA-CHOL	CHOL	missingness_hypoxia_score	0
per_project	TCGA-CHOL	CHOL	missingness_cell_cycle_score	0
per_project	TCGA-CHOL	CHOL	missingness_DNA_repair_score	0
per_project	TCGA-CHOL	CHOL	missingness_angiogenesis_score	0
per_project	TCGA-CHOL	CHOL	missingness_lineage_or_tissue_PC1	0
per_project	TCGA-CHOL	CHOL	missingness_lineage_or_tissue_PC2	0
per_project	TCGA-COAD	COAD	n_samples	403
per_project	TCGA-COAD	COAD	median_proliferation_score	0.54037375236594
per_project	TCGA-COAD	COAD	median_immune_inflammatory_score	-0.190997747699753
per_project	TCGA-COAD	COAD	median_interferon_gamma_score	-0.269632878522681
per_project	TCGA-COAD	COAD	median_cytotoxic_t_cell_score	-0.177772540434429
per_project	TCGA-COAD	COAD	median_stromal_score	-0.246312539110789
per_project	TCGA-COAD	COAD	median_epithelial_score	1.12488743086551
per_project	TCGA-COAD	COAD	median_EMT_score	-0.387252365232581
per_project	TCGA-COAD	COAD	median_hypoxia_score	-0.0231457445514468
per_project	TCGA-COAD	COAD	median_cell_cycle_score	0.531493385653604
per_project	TCGA-COAD	COAD	median_DNA_repair_score	0.2812333216118
per_project	TCGA-COAD	COAD	median_angiogenesis_score	-0.369315394383227
per_project	TCGA-COAD	COAD	median_lineage_or_tissue_PC1	-2.22731010059217
per_project	TCGA-COAD	COAD	median_lineage_or_tissue_PC2	2.54804437541146
per_project	TCGA-COAD	COAD	missingness_proliferation_score	0
per_project	TCGA-COAD	COAD	missingness_immune_inflammatory_score	0
per_project	TCGA-COAD	COAD	missingness_interferon_gamma_score	0
per_project	TCGA-COAD	COAD	missingness_cytotoxic_t_cell_score	0
per_project	TCGA-COAD	COAD	missingness_stromal_score	0
per_project	TCGA-COAD	COAD	missingness_epithelial_score	0
per_project	TCGA-COAD	COAD	missingness_EMT_score	0
per_project	TCGA-COAD	COAD	missingness_hypoxia_score	0
per_project	TCGA-COAD	COAD	missingness_cell_cycle_score	0
per_project	TCGA-COAD	COAD	missingness_DNA_repair_score	0
per_project	TCGA-COAD	COAD	missingness_angiogenesis_score	0
per_project	TCGA-COAD	COAD	missingness_lineage_or_tissue_PC1	0
per_project	TCGA-COAD	COAD	missingness_lineage_or_tissue_PC2	0
per_project	TCGA-DLBC	DLBC	n_samples	37
per_project	TCGA-DLBC	DLBC	median_proliferation_score	1.78839362899844
per_project	TCGA-DLBC	DLBC	median_immune_inflammatory_score	1.77397487795647
per_project	TCGA-DLBC	DLBC	median_interferon_gamma_score	1.38353308201421
per_project	TCGA-DLBC	DLBC	median_cytotoxic_t_cell_score	1.87657730929169
per_project	TCGA-DLBC	DLBC	median_stromal_score	-0.336359695473646
per_project	TCGA-DLBC	DLBC	median_epithelial_score	-0.860534851365663
per_project	TCGA-DLBC	DLBC	median_EMT_score	-0.275512985625056
per_project	TCGA-DLBC	DLBC	median_hypoxia_score	-0.00378373578766563
per_project	TCGA-DLBC	DLBC	median_cell_cycle_score	1.67125839960067
per_project	TCGA-DLBC	DLBC	median_DNA_repair_score	1.38690487230165
per_project	TCGA-DLBC	DLBC	median_angiogenesis_score	-0.366435892292712
per_project	TCGA-DLBC	DLBC	median_lineage_or_tissue_PC1	-8.42545071652619
per_project	TCGA-DLBC	DLBC	median_lineage_or_tissue_PC2	-6.11148621449295
per_project	TCGA-DLBC	DLBC	missingness_proliferation_score	0
