feature_name	feature_class	pc	loading	abs_loading
mutation_prevalence_BAP1	mutation	PC4	0.0248725915150442	0.0248725915150442
tmb_proxy_mean_nonsynonymous_count	mutation	PC4	0.0237123466153807	0.0237123466153807
mutation_prevalence_TP53	mutation	PC4	-0.0226811549063412	0.0226811549063412
mutation_prevalence_PMS2	mutation	PC4	0.020373535144519	0.020373535144519
tmb_proxy_mean_total_mutation_count	mutation	PC4	0.0188759662105914	0.0188759662105914
mutation_prevalence_BRCA2	mutation	PC4	0.0138804895993355	0.0138804895993355
mutation_prevalence_POLE	mutation	PC4	0.0011982588665837	0.0011982588665837
mutation_prevalence_SMAD4	mutation	PC5	0.371737845577591	0.371737845577591
median_epithelial_score	expression	PC5	0.350799205646428	0.350799205646428
mutation_prevalence_KRAS	mutation	PC5	0.341185947610146	0.341185947610146
median_purity	copy_number_aneuploidy	PC5	-0.323283111312857	0.323283111312857
median_angiogenesis_score	expression	PC5	0.249477032567674	0.249477032567674
mutation_prevalence_VHL	mutation	PC5	0.244817643225475	0.244817643225475
median_hypoxia_score	expression	PC5	0.24383289488922	0.24383289488922
mutation_prevalence_APC	mutation	PC5	0.216644820460018	0.216644820460018
mutation_prevalence_NF1	mutation	PC5	-0.187559636377178	0.187559636377178
mutation_prevalence_CDKN2A	mutation	PC5	0.162303615618118	0.162303615618118
median_stromal_score	expression	PC5	0.154279058505643	0.154279058505643
mutation_prevalence_EGFR	mutation	PC5	-0.153893818690251	0.153893818690251
mutation_prevalence_RB1	mutation	PC5	-0.143481557512249	0.143481557512249
mutation_prevalence_IDH1	mutation	PC5	-0.142568594766355	0.142568594766355
mutation_prevalence_PTEN	mutation	PC5	-0.129679906511928	0.129679906511928
mutation_prevalence_BAP1	mutation	PC5	0.124291691987402	0.124291691987402
median_EMT_score	expression	PC5	-0.12190225757039	0.12190225757039
median_ploidy	copy_number_aneuploidy	PC5	-0.117399149978811	0.117399149978811
median_arm_gain_count	copy_number_aneuploidy	PC5	-0.094174545074467	0.094174545074467
mutation_prevalence_MET	mutation	PC5	-0.0826411798779927	0.0826411798779927
median_lineage_or_tissue_PC2	expression	PC5	-0.0822580920578714	0.0822580920578714
mutation_prevalence_MYC	mutation	PC5	-0.0815106984098727	0.0815106984098727
median_DNA_repair_score	expression	PC5	-0.0745462614773796	0.0745462614773796
mutation_prevalence_MSH2	mutation	PC5	0.0744788769156781	0.0744788769156781
median_interferon_gamma_score	expression	PC5	0.0686277458446246	0.0686277458446246
mutation_prevalence_MLH1	mutation	PC5	0.0675651137912205	0.0675651137912205
mutation_prevalence_IDH2	mutation	PC5	-0.0648675854996324	0.0648675854996324
mutation_prevalence_TP53	mutation	PC5	0.0616084329128938	0.0616084329128938
median_aneuploidy_score	copy_number_aneuploidy	PC5	-0.0582476798178726	0.0582476798178726
median_total_arm_alteration_count	copy_number_aneuploidy	PC5	-0.0582476798178726	0.0582476798178726
median_proliferation_score	expression	PC5	-0.0508299068838827	0.0508299068838827
median_cell_cycle_score	expression	PC5	-0.0504808187566522	0.0504808187566522
mutation_prevalence_CTNNB1	mutation	PC5	-0.042120846788299	0.042120846788299
median_lineage_or_tissue_PC1	expression	PC5	0.037990769589161	0.037990769589161
mutation_prevalence_ERBB2	mutation	PC5	0.0364811344703052	0.0364811344703052
mutation_prevalence_POLE	mutation	PC5	0.0302503279837936	0.0302503279837936
tmb_proxy_median_total_mutation_count	mutation	PC5	-0.0287163635108986	0.0287163635108986
tmb_proxy_median_nonsynonymous_count	mutation	PC5	-0.0208180462485963	0.0208180462485963
mutation_prevalence_BRCA1	mutation	PC5	-0.0193810872543928	0.0193810872543928
mutation_prevalence_BRAF	mutation	PC5	-0.0182038132277059	0.0182038132277059
mutation_prevalence_ALK	mutation	PC5	-0.0181686401914087	0.0181686401914087
mutation_prevalence_PMS2	mutation	PC5	0.0169380882475756	0.0169380882475756
mutation_prevalence_TERT	mutation	PC5	0.0167697168903405	0.0167697168903405
median_cytotoxic_t_cell_score	expression	PC5	0.0140721515700252	0.0140721515700252
mutation_prevalence_ARID1A	mutation	PC5	0.0125693834744043	0.0125693834744043
mutation_prevalence_BRCA2	mutation	PC5	0.012170490529347	0.012170490529347
median_arm_loss_count	copy_number_aneuploidy	PC5	-0.00843495755289323	0.00843495755289323
mutation_prevalence_PIK3CA	mutation	PC5	-0.00774384926231714	0.00774384926231714
tmb_proxy_mean_total_mutation_count	mutation	PC5	-0.00679417326939055	0.00679417326939055
median_immune_inflammatory_score	expression	PC5	0.003299576414969	0.003299576414969
tmb_proxy_mean_nonsynonymous_count	mutation	PC5	0.00283611952926745	0.00283611952926745
mutation_prevalence_MSH6	mutation	PC5	-0.00202350355374842	0.00202350355374842
mutation_prevalence_VHL	mutation	PC6	0.333220731481739	0.333220731481739
mutation_prevalence_BRAF	mutation	PC6	-0.330042095403996	0.330042095403996
median_angiogenesis_score	expression	PC6	0.314087519850379	0.314087519850379
median_hypoxia_score	expression	PC6	0.293013431356716	0.293013431356716
tmb_proxy_median_total_mutation_count	mutation	PC6	-0.24126592378117	0.24126592378117
mutation_prevalence_CDKN2A	mutation	PC6	-0.235479343607655	0.235479343607655
tmb_proxy_median_nonsynonymous_count	mutation	PC6	-0.231676315027887	0.231676315027887
mutation_prevalence_PTEN	mutation	PC6	0.217589787072943	0.217589787072943
mutation_prevalence_PIK3CA	mutation	PC6	0.21567315561867	0.21567315561867
mutation_prevalence_RB1	mutation	PC6	0.200348633139425	0.200348633139425
mutation_prevalence_ARID1A	mutation	PC6	0.177631806108325	0.177631806108325
mutation_prevalence_SMAD4	mutation	PC6	-0.156927065840253	0.156927065840253
mutation_prevalence_BAP1	mutation	PC6	0.155637790266159	0.155637790266159
median_purity	copy_number_aneuploidy	PC6	0.151352990668214	0.151352990668214
mutation_prevalence_ALK	mutation	PC6	-0.150080844842685	0.150080844842685
median_ploidy	copy_number_aneuploidy	PC6	0.139999484848403	0.139999484848403
mutation_prevalence_MSH6	mutation	PC6	0.131986498124531	0.131986498124531
mutation_prevalence_KRAS	mutation	PC6	-0.127481594641674	0.127481594641674
median_lineage_or_tissue_PC2	expression	PC6	-0.114119287795406	0.114119287795406
median_aneuploidy_score	copy_number_aneuploidy	PC6	0.107828635090613	0.107828635090613
median_total_arm_alteration_count	copy_number_aneuploidy	PC6	0.107828635090613	0.107828635090613
median_arm_gain_count	copy_number_aneuploidy	PC6	0.090274437886537	0.090274437886537
mutation_prevalence_IDH1	mutation	PC6	-0.0779310153734458	0.0779310153734458
mutation_prevalence_TERT	mutation	PC6	-0.0778528937983103	0.0778528937983103
median_immune_inflammatory_score	expression	PC6	-0.0763296818491388	0.0763296818491388
mutation_prevalence_IDH2	mutation	PC6	0.0751980675633069	0.0751980675633069
mutation_prevalence_CTNNB1	mutation	PC6	0.0687126598755931	0.0687126598755931
mutation_prevalence_NF1	mutation	PC6	-0.0686135438843639	0.0686135438843639
mutation_prevalence_APC	mutation	PC6	-0.0662144145517045	0.0662144145517045
mutation_prevalence_MSH2	mutation	PC6	0.0608046138533632	0.0608046138533632
median_stromal_score	expression	PC6	0.0542961840316232	0.0542961840316232
median_cell_cycle_score	expression	PC6	0.051778041828555	0.051778041828555
median_cytotoxic_t_cell_score	expression	PC6	-0.0516977563074684	0.0516977563074684
median_arm_loss_count	copy_number_aneuploidy	PC6	0.0512128707971268	0.0512128707971268
median_proliferation_score	expression	PC6	0.050042030679891	0.050042030679891
mutation_prevalence_ERBB2	mutation	PC6	0.0454470321373467	0.0454470321373467
mutation_prevalence_PMS2	mutation	PC6	-0.0435683382873865	0.0435683382873865
mutation_prevalence_MYC	mutation	PC6	0.0414191965894399	0.0414191965894399
median_EMT_score	expression	PC6	0.0374890037209115	0.0374890037209115
mutation_prevalence_POLE	mutation	PC6	0.037477137902721	0.037477137902721
mutation_prevalence_TP53	mutation	PC6	0.0372478736540945	0.0372478736540945
mutation_prevalence_EGFR	mutation	PC6	-0.0370156164333602	0.0370156164333602
tmb_proxy_mean_nonsynonymous_count	mutation	PC6	-0.0334147898140029	0.0334147898140029
median_epithelial_score	expression	PC6	-0.0275705591120779	0.0275705591120779
tmb_proxy_mean_total_mutation_count	mutation	PC6	-0.0261392908896448	0.0261392908896448
median_interferon_gamma_score	expression	PC6	0.0237184052716965	0.0237184052716965
mutation_prevalence_BRCA2	mutation	PC6	0.0232775634986342	0.0232775634986342
mutation_prevalence_MET	mutation	PC6	-0.0231696358626268	0.0231696358626268
median_DNA_repair_score	expression	PC6	0.0161774351269993	0.0161774351269993
mutation_prevalence_MLH1	mutation	PC6	0.0134336333483055	0.0134336333483055
median_lineage_or_tissue_PC1	expression	PC6	-0.0133306436892083	0.0133306436892083
mutation_prevalence_BRCA1	mutation	PC6	-0.00628381241934113	0.00628381241934113
