project_id	project_code	cancer_name	disease_type	primary_site	broad_group	major_cancer_group	level2_group	lineage_notes	tmb_proxy_median_nonsynonymous_count	tmb_proxy_mean_nonsynonymous_count	tmb_proxy_median_total_mutation_count	tmb_proxy_mean_total_mutation_count	mutation_prevalence_TP53	mutation_prevalence_KRAS	mutation_prevalence_BRAF	mutation_prevalence_IDH1	mutation_prevalence_IDH2	mutation_prevalence_PIK3CA	mutation_prevalence_APC	mutation_prevalence_PTEN	mutation_prevalence_NF1	mutation_prevalence_BAP1	mutation_prevalence_VHL	mutation_prevalence_RB1	mutation_prevalence_CDKN2A	mutation_prevalence_SMAD4	mutation_prevalence_ARID1A	mutation_prevalence_TERT	mutation_prevalence_EGFR	mutation_prevalence_ERBB2	mutation_prevalence_ALK	mutation_prevalence_MET	mutation_prevalence_MYC	mutation_prevalence_CTNNB1	mutation_prevalence_POLE	mutation_prevalence_MSH2	mutation_prevalence_MSH6	mutation_prevalence_MLH1	mutation_prevalence_PMS2	mutation_prevalence_BRCA1	mutation_prevalence_BRCA2	median_purity	median_ploidy	median_aneuploidy_score	median_arm_gain_count	median_arm_loss_count	median_total_arm_alteration_count	median_proliferation_score	median_immune_inflammatory_score	median_interferon_gamma_score	median_cytotoxic_t_cell_score	median_stromal_score	median_epithelial_score	median_EMT_score	median_hypoxia_score	median_cell_cycle_score	median_DNA_repair_score	median_angiogenesis_score	median_lineage_or_tissue_PC1	median_lineage_or_tissue_PC2
TCGA-LIHC	LIHC	Liver Hepatocellular Carcinoma	Adenomas and Adenocarcinomas	Liver and intrahepatic bile ducts	Carcinoma	Carcinoma	gi_hepatobiliary	Hepatocellular carcinoma.	85	105.767123287671	138	167.295890410959	0.301369863013699	0.0136986301369863	0	0.0219178082191781	0.00821917808219178	0.0356164383561644	0.0328767123287671	0.0191780821917808	0.0356164383561644	0.0547945205479452	0	0.052054794520548	0.0246575342465753	0.010958904109589	0.0794520547945206	0.00547945205479452	0.0164383561643836	0.00273972602739726	0.0246575342465753	0.00547945205479452	0.00273972602739726	0.263013698630137	0.00821917808219178	0.00273972602739726	0.0136986301369863	0.00273972602739726	0.00547945205479452	0.010958904109589	0.0219178082191781	0.72	2.14	8	3	4	8	-0.56053080621527	-0.240918223007243	-0.283032322670716	-0.232215872876054	-0.382172735643118	-0.338253887072737	-0.252352990737464	-0.38337184304488	-0.582389498254672	-0.620833954145664	-0.199239867203583	2.25762296995295	0.88548954586118
TCGA-LUAD	LUAD	Lung Adenocarcinoma	Ductal and Lobular Neoplasms;Cystic, Mucinous and Serous Neoplasms;Acinar Cell Neoplasms;Adenomas and Adenocarcinomas	Bronchus and lung	Carcinoma	Carcinoma	lung_adeno	Lung adenocarcinoma.	199	297.875219683655	285	431.792618629174	0.513181019332162	0.295254833040422	0.0738137082601054	0.0105448154657293	0.00175746924428823	0.0492091388400703	0.0597539543057996	0.0175746924428823	0.115992970123023	0.0140597539543058	0.00175746924428823	0.0597539543057996	0.0439367311072056	0.0404217926186292	0.0615114235500879	0.0105448154657293	0.126537785588752	0.0175746924428823	0.0615114235500879	0.0369068541300527	0.0070298769771529	0.0369068541300527	0.0492091388400703	0.0175746924428823	0.0175746924428823	0.0140597539543058	0.015817223198594	0.0351493848857645	0.0562390158172232	0.45	2.765	16	5	9	16	-0.348192430108979	-0.0415006512570802	0.0695878153112802	-0.0670600837422476	-0.130725792095169	0.150692587810257	-0.253917478919074	0.0209608576103348	-0.328299772285144	-0.288082476798379	-0.00751202101481	0.885130586795747	-0.274305328331377
TCGA-LUSC	LUSC	Lung Squamous Cell Carcinoma	Squamous Cell Neoplasms;Adenomas and Adenocarcinomas	Bronchus and lung	Carcinoma	Carcinoma	pan_squamous	Lung squamous carcinoma.	232	291.261855670103	341	431.696907216495	0.835051546391753	0.0164948453608247	0.0329896907216495	0.00618556701030928	0	0.115463917525773	0.0556701030927835	0.107216494845361	0.115463917525773	0.0103092783505155	0.00206185567010309	0.0680412371134021	0.150515463917526	0.0185567010309278	0.0680412371134021	0.0144329896907217	0.0247422680412371	0.0185567010309278	0.0412371134020619	0.0164948453608247	0.00824742268041237	0.0123711340206186	0.0536082474226804	0.00824742268041237	0.0164948453608247	0.0185567010309278	0.0144329896907217	0.0474226804123711	0.065979381443299	0.5	2.73	16	5	10	16	0.556481598650594	-0.0942724831410982	-0.073893042297595	-0.0912937119321378	-0.151818188594913	0.00540408726463288	-0.116951416323644	0.508597453515603	0.540270715293527	0.370427049425638	-0.262635971559612	-2.69805680544915	0.804312023965649
TCGA-OV	OV	Ovarian Serous Cystadenocarcinoma	Cystic, Mucinous and Serous Neoplasms;Not Reported	Retroperitoneum and peritoneum;Ovary	Carcinoma	Carcinoma	gynecologic	High-grade serous ovarian carcinoma-dominated cohort.	68	87.5242718446602	101	129.856796116505	0.905339805825243	0.0145631067961165	0.00485436893203884	0.00242718446601942	0.00485436893203884	0.0194174757281553	0.0242718446601942	0.0169902912621359	0.0728155339805825	0.0121359223300971	0	0.0388349514563107	0.00485436893203884	0.00970873786407767	0.00970873786407767	0.00242718446601942	0.0145631067961165	0.0121359223300971	0.0242718446601942	0.0121359223300971	0.00485436893203884	0.00242718446601942	0.00485436893203884	0.00970873786407767	0.00728155339805825	0.00970873786407767	0.00242718446601942	0.0436893203883495	0.0364077669902913	0.805	2.695	13	3	8	13	0.324591810548287	-0.220589210805994	-0.00313433858822713	-0.236755120572728	-0.28769765247401	0.0234347983812742	-0.37684177128525	0.12306569532068	0.433385845637188	0.0397632541578428	-0.378487724431073	-1.80641664580825	1.29388850021576
TCGA-PAAD	PAAD	Pancreatic Adenocarcinoma	Ductal and Lobular Neoplasms;Cystic, Mucinous and Serous Neoplasms;Epithelial Neoplasms, NOS;Adenomas and Adenocarcinomas	Pancreas	Carcinoma	Carcinoma	gi_pancreatic	Pancreatic ductal adenocarcinoma-dominated cohort.	35	116.415730337079	53	177.14606741573	0.612359550561798	0.668539325842697	0.0112359550561798	0.00561797752808989	0.00561797752808989	0.0280898876404494	0.0224719101123596	0	0.0168539325842697	0.0112359550561798	0	0.00561797752808989	0.202247191011236	0.207865168539326	0.050561797752809	0.0168539325842697	0.00561797752808989	0.0112359550561798	0.0112359550561798	0.00561797752808989	0	0.0224719101123596	0.0112359550561798	0.00561797752808989	0.00561797752808989	0.00561797752808989	0.00561797752808989	0.0112359550561798	0.0112359550561798	0.4	2	7	1	6	7	-0.596795414131897	-0.207102677084059	-0.238004760034515	-0.197700947749573	0.670705929130476	0.501410775498251	0.182750751844867	-0.215539549756878	-0.602915423415612	-0.453014595616736	-0.00543737053567887	2.28940653821464	-0.168233524094451
TCGA-PRAD	PRAD	Prostate Adenocarcinoma	Ductal and Lobular Neoplasms;Cystic, Mucinous and Serous Neoplasms;Acinar Cell Neoplasms;Adenomas and Adenocarcinomas	Prostate gland	Carcinoma	Carcinoma	prostate	Prostate adenocarcinoma.	27	46.152610441767	39	69.152610441767	0.118473895582329	0.00401606425702811	0.0140562248995984	0.0100401606425703	0	0.0220883534136546	0.0220883534136546	0.036144578313253	0.00602409638554217	0	0.00602409638554217	0.00602409638554217	0.00200803212851406	0.0100401606425703	0.00803212851405622	0	0.00602409638554217	0.00602409638554217	0.00401606425702811	0.00803212851405622	0.00200803212851406	0.0220883534136546	0.00803212851405622	0.00401606425702811	0.00602409638554217	0.00401606425702811	0.00200803212851406	0.00200803212851406	0.0160642570281124	0.61	1.98	1	0	1	1	-0.836378897992185	-0.271719271257512	-0.416888550038006	-0.277084033488858	-0.0405495417892898	0.0243603992542466	-0.35216635389803	-0.566798200187552	-0.848731461572633	-0.607875827920049	-0.261880809341206	3.45601930237964	1.33812129389726
TCGA-READ	READ	Rectum Adenocarcinoma	Cystic, Mucinous and Serous Neoplasms;Adenomas and Adenocarcinomas	Colon;Rectosigmoid junction;Rectum;Connective, subcutaneous and other soft tissues;Unknown	Carcinoma	Carcinoma	gi_colorectal	Colorectal adenocarcinoma.	91	301.311258278146	137	452.483443708609	0.728476821192053	0.397350993377483	0.033112582781457	0.00662251655629139	0.0132450331125828	0.145695364238411	0.801324503311258	0.0596026490066225	0.0529801324503311	0.00662251655629139	0.00662251655629139	0.033112582781457	0	0.145695364238411	0.0596026490066225	0.00662251655629139	0.0198675496688742	0.0463576158940397	0.0198675496688742	0.0264900662251656	0.00662251655629139	0.0463576158940397	0.0397350993377483	0.033112582781457	0.0397350993377483	0.0264900662251656	0.033112582781457	0.0198675496688742	0.0662251655629139	0.665	2.395	13	5	7	13	0.460671814367398	-0.200252313434117	-0.308620594669811	-0.194003291506535	-0.225771369358512	0.997202387111785	-0.36228892873755	-0.0422495925553199	0.479666929506965	0.291757914140736	-0.343513722380224	-1.95505329320883	2.60000764876376
TCGA-STAD	STAD	Stomach Adenocarcinoma	Cystic, Mucinous and Serous Neoplasms;Adenomas and Adenocarcinomas	Stomach	Carcinoma	Carcinoma	gi_gastric	Gastric adenocarcinoma.	115	377.694760820045	170	558.892938496584	0.4874715261959	0.0911161731207289	0.0318906605922551	0.00911161731207289	0.00455580865603645	0.161731207289294	0.116173120728929	0.0751708428246014	0.0728929384965831	0.0296127562642369	0.00683371298405467	0.0341685649202734	0.041002277904328	0.0751708428246014	0.252847380410023	0.0136674259681093	0.0478359908883827	0.0523917995444191	0.041002277904328	0.0182232346241458	0.0159453302961276	0.0592255125284738	0.0637813211845103	0.0227790432801822	0.0296127562642369	0.0250569476082005	0.0159453302961276	0.0318906605922551	0.0865603644646925	0.52	2.15	10	4	5	10	0.455600112551992	-0.106631421908701	-0.0765269262120588	-0.102986855460811	-0.0327077005580159	0.544696466763469	-0.222635739947405	-0.236598869473704	0.434573704512597	0.370845286713319	-0.108146697662456	-1.89940498813503	0.614564576903655
TCGA-THCA	THCA	Thyroid Carcinoma	Squamous Cell Neoplasms;Epithelial Neoplasms, NOS;Adenomas and Adenocarcinomas	Thyroid gland	Carcinoma	Carcinoma	thyroid	Thyroid carcinoma.	10	16.05	15	24.37	0.006	0.008	0.592	0	0	0.008	0.006	0.004	0.006	0.002	0	0.004	0.002	0	0.002	0.006	0	0	0.002	0.002	0	0.002	0	0.002	0	0	0	0.002	0.004	0.67	2	0	0	0	0	-0.778146939493956	-0.271289626801782	-0.346207409492462	-0.222981435615528	-0.350914443967887	0.189142475545083	0.0299226495307163	-0.48125328314078	-0.798577581390852	-0.57736378929457	0.331975065120614	3.52224548945634	0.375588506432575
TCGA-UCEC	UCEC	Uterine Corpus Endometrial Carcinoma	Not Reported;Cystic, Mucinous and Serous Neoplasms;Epithelial Neoplasms, NOS;Adenomas and Adenocarcinomas	Uterus, NOS;Corpus uteri	Carcinoma	Carcinoma	gynecologic	Endometrial carcinoma; includes hypermutated/MSI and POLE subsets.	76	1037.58380414313	124	1779.85499058381	0.384180790960452	0.192090395480226	0.0470809792843691	0.0376647834274953	0.0489642184557439	0.500941619585687	0.143126177024482	0.645951035781544	0.135593220338983	0.0564971751412429	0.0112994350282486	0.128060263653484	0.0150659133709981	0.0376647834274953	0.433145009416196	0.0395480225988701	0.0677966101694915	0.0715630885122411	0.0941619585687382	0.101694915254237	0.0376647834274953	0.250470809792844	0.154425612052731	0.0772128060263654	0.111111111111111	0.064030131826742	0.0677966101694915	0.0885122410546139	0.148775894538606	0.76	2.04	3	1	0	3	0.167975184045374	-0.220294789561388	-0.232166108827916	-0.159850653107079	-0.325182490800893	0.146237656329933	-0.312563023540975	-0.175422639954476	0.218004844362664	0.0276951709054346	-0.281500173413604	-0.717359994919094	1.51212246300359
