qc_section	feature_name	metric	value
per_feature	mutation_prevalence_MYC	imputed_value	0.00321543408360129
per_feature	mutation_prevalence_MYC	n_imputed_values	0
per_feature	mutation_prevalence_MYC	retained_for_tree	TRUE
per_feature	mutation_prevalence_MYC	drop_reason	
per_feature	mutation_prevalence_NF1	missing_fraction	0
per_feature	mutation_prevalence_NF1	n_missing_projects	0
per_feature	mutation_prevalence_NF1	imputed_value	0.0418410041841004
per_feature	mutation_prevalence_NF1	n_imputed_values	0
per_feature	mutation_prevalence_NF1	retained_for_tree	TRUE
per_feature	mutation_prevalence_NF1	drop_reason	
per_feature	mutation_prevalence_PIK3CA	missing_fraction	0
per_feature	mutation_prevalence_PIK3CA	n_missing_projects	0
per_feature	mutation_prevalence_PIK3CA	imputed_value	0.0356164383561644
per_feature	mutation_prevalence_PIK3CA	n_imputed_values	0
per_feature	mutation_prevalence_PIK3CA	retained_for_tree	TRUE
per_feature	mutation_prevalence_PIK3CA	drop_reason	
per_feature	mutation_prevalence_PMS2	missing_fraction	0
per_feature	mutation_prevalence_PMS2	n_missing_projects	0
per_feature	mutation_prevalence_PMS2	imputed_value	0.00561797752808989
per_feature	mutation_prevalence_PMS2	n_imputed_values	0
per_feature	mutation_prevalence_PMS2	retained_for_tree	TRUE
per_feature	mutation_prevalence_PMS2	drop_reason	
per_feature	mutation_prevalence_POLE	missing_fraction	0
per_feature	mutation_prevalence_POLE	n_missing_projects	0
per_feature	mutation_prevalence_POLE	imputed_value	0.0151515151515152
per_feature	mutation_prevalence_POLE	n_imputed_values	0
per_feature	mutation_prevalence_POLE	retained_for_tree	TRUE
per_feature	mutation_prevalence_POLE	drop_reason	
per_feature	mutation_prevalence_PTEN	missing_fraction	0
per_feature	mutation_prevalence_PTEN	n_missing_projects	0
per_feature	mutation_prevalence_PTEN	imputed_value	0.0283687943262411
per_feature	mutation_prevalence_PTEN	n_imputed_values	0
per_feature	mutation_prevalence_PTEN	retained_for_tree	TRUE
per_feature	mutation_prevalence_PTEN	drop_reason	
per_feature	mutation_prevalence_RB1	missing_fraction	0
per_feature	mutation_prevalence_RB1	n_missing_projects	0
per_feature	mutation_prevalence_RB1	imputed_value	0.027027027027027
per_feature	mutation_prevalence_RB1	n_imputed_values	0
per_feature	mutation_prevalence_RB1	retained_for_tree	TRUE
per_feature	mutation_prevalence_RB1	drop_reason	
per_feature	mutation_prevalence_SMAD4	missing_fraction	0
per_feature	mutation_prevalence_SMAD4	n_missing_projects	0
per_feature	mutation_prevalence_SMAD4	imputed_value	0.00857449088960343
per_feature	mutation_prevalence_SMAD4	n_imputed_values	0
per_feature	mutation_prevalence_SMAD4	retained_for_tree	TRUE
per_feature	mutation_prevalence_SMAD4	drop_reason	
per_feature	mutation_prevalence_TERT	missing_fraction	0
per_feature	mutation_prevalence_TERT	n_missing_projects	0
per_feature	mutation_prevalence_TERT	imputed_value	0.007502679528403
per_feature	mutation_prevalence_TERT	n_imputed_values	0
per_feature	mutation_prevalence_TERT	retained_for_tree	TRUE
per_feature	mutation_prevalence_TERT	drop_reason	
per_feature	mutation_prevalence_TP53	missing_fraction	0
per_feature	mutation_prevalence_TP53	n_missing_projects	0
per_feature	mutation_prevalence_TP53	imputed_value	0.315136476426799
per_feature	mutation_prevalence_TP53	n_imputed_values	0
per_feature	mutation_prevalence_TP53	retained_for_tree	TRUE
per_feature	mutation_prevalence_TP53	drop_reason	
per_feature	mutation_prevalence_VHL	missing_fraction	0
per_feature	mutation_prevalence_VHL	n_missing_projects	0
per_feature	mutation_prevalence_VHL	imputed_value	0
per_feature	mutation_prevalence_VHL	n_imputed_values	0
per_feature	mutation_prevalence_VHL	retained_for_tree	TRUE
per_feature	mutation_prevalence_VHL	drop_reason	
per_feature	tmb_proxy_mean_nonsynonymous_count	missing_fraction	0
per_feature	tmb_proxy_mean_nonsynonymous_count	n_missing_projects	0
per_feature	tmb_proxy_mean_nonsynonymous_count	imputed_value	89.0235798499464
per_feature	tmb_proxy_mean_nonsynonymous_count	n_imputed_values	0
per_feature	tmb_proxy_mean_nonsynonymous_count	retained_for_tree	TRUE
per_feature	tmb_proxy_mean_nonsynonymous_count	drop_reason	
per_feature	tmb_proxy_mean_total_mutation_count	missing_fraction	0
per_feature	tmb_proxy_mean_total_mutation_count	n_missing_projects	0
per_feature	tmb_proxy_mean_total_mutation_count	imputed_value	135.561629153269
per_feature	tmb_proxy_mean_total_mutation_count	n_imputed_values	0
per_feature	tmb_proxy_mean_total_mutation_count	retained_for_tree	TRUE
per_feature	tmb_proxy_mean_total_mutation_count	drop_reason	
per_feature	tmb_proxy_median_nonsynonymous_count	missing_fraction	0
per_feature	tmb_proxy_median_nonsynonymous_count	n_missing_projects	0
per_feature	tmb_proxy_median_nonsynonymous_count	imputed_value	51
per_feature	tmb_proxy_median_nonsynonymous_count	n_imputed_values	0
per_feature	tmb_proxy_median_nonsynonymous_count	retained_for_tree	TRUE
per_feature	tmb_proxy_median_nonsynonymous_count	drop_reason	
per_feature	tmb_proxy_median_total_mutation_count	missing_fraction	0
per_feature	tmb_proxy_median_total_mutation_count	n_missing_projects	0
per_feature	tmb_proxy_median_total_mutation_count	imputed_value	77
per_feature	tmb_proxy_median_total_mutation_count	n_imputed_values	0
per_feature	tmb_proxy_median_total_mutation_count	retained_for_tree	TRUE
per_feature	tmb_proxy_median_total_mutation_count	drop_reason	
