project_code	project_id	major_cancer_group	weighting_scenario	cluster_k6
TGCT	TCGA-TGCT	Germ cell	mutation_down_weighted	2
TGCT	TCGA-TGCT	Germ cell	copy_number_down_weighted	1
TGCT	TCGA-TGCT	Germ cell	expression_down_weighted	1
THCA	TCGA-THCA	Carcinoma	unweighted_all_features	1
THCA	TCGA-THCA	Carcinoma	equal_weight_mutation_copy_number_expression	3
THCA	TCGA-THCA	Carcinoma	mutation_down_weighted	1
THCA	TCGA-THCA	Carcinoma	copy_number_down_weighted	1
THCA	TCGA-THCA	Carcinoma	expression_down_weighted	1
THYM	TCGA-THYM	Other or mixed	unweighted_all_features	1
THYM	TCGA-THYM	Other or mixed	equal_weight_mutation_copy_number_expression	5
THYM	TCGA-THYM	Other or mixed	mutation_down_weighted	4
THYM	TCGA-THYM	Other or mixed	copy_number_down_weighted	1
THYM	TCGA-THYM	Other or mixed	expression_down_weighted	1
UCEC	TCGA-UCEC	Carcinoma	unweighted_all_features	5
UCEC	TCGA-UCEC	Carcinoma	equal_weight_mutation_copy_number_expression	6
UCEC	TCGA-UCEC	Carcinoma	mutation_down_weighted	6
UCEC	TCGA-UCEC	Carcinoma	copy_number_down_weighted	6
UCEC	TCGA-UCEC	Carcinoma	expression_down_weighted	5
UCS	TCGA-UCS	Other or mixed	unweighted_all_features	6
UCS	TCGA-UCS	Other or mixed	equal_weight_mutation_copy_number_expression	1
UCS	TCGA-UCS	Other or mixed	mutation_down_weighted	2
UCS	TCGA-UCS	Other or mixed	copy_number_down_weighted	2
UCS	TCGA-UCS	Other or mixed	expression_down_weighted	6
UVM	TCGA-UVM	Melanocytic	unweighted_all_features	1
UVM	TCGA-UVM	Melanocytic	equal_weight_mutation_copy_number_expression	3
UVM	TCGA-UVM	Melanocytic	mutation_down_weighted	1
UVM	TCGA-UVM	Melanocytic	copy_number_down_weighted	1
UVM	TCGA-UVM	Melanocytic	expression_down_weighted	1
