qc_section	project_id	project_code	metric	value
per_project	TCGA-LAML	LAML	missingness_arm_loss_count	0.171428571428571
per_project	TCGA-LAML	LAML	missingness_total_arm_alteration_count	0.171428571428571
per_project	TCGA-LGG	LGG	n_samples	526
per_project	TCGA-LGG	LGG	median_purity	0.75
per_project	TCGA-LGG	LGG	median_ploidy	2.01
per_project	TCGA-LGG	LGG	median_aneuploidy_score	2
per_project	TCGA-LGG	LGG	median_fraction_genome_altered	NA
per_project	TCGA-LGG	LGG	missingness_purity	0.0361216730038023
per_project	TCGA-LGG	LGG	missingness_ploidy	0.0361216730038023
per_project	TCGA-LGG	LGG	missingness_aneuploidy_score	0.0228136882129278
per_project	TCGA-LGG	LGG	missingness_fraction_genome_altered	1
per_project	TCGA-LGG	LGG	missingness_arm_gain_count	0.0228136882129278
per_project	TCGA-LGG	LGG	missingness_arm_loss_count	0.0228136882129278
per_project	TCGA-LGG	LGG	missingness_total_arm_alteration_count	0.0228136882129278
per_project	TCGA-LIHC	LIHC	n_samples	365
per_project	TCGA-LIHC	LIHC	median_purity	0.72
per_project	TCGA-LIHC	LIHC	median_ploidy	2.14
per_project	TCGA-LIHC	LIHC	median_aneuploidy_score	8
per_project	TCGA-LIHC	LIHC	median_fraction_genome_altered	NA
per_project	TCGA-LIHC	LIHC	missingness_purity	0.0410958904109589
per_project	TCGA-LIHC	LIHC	missingness_ploidy	0.0410958904109589
per_project	TCGA-LIHC	LIHC	missingness_aneuploidy_score	0.0410958904109589
per_project	TCGA-LIHC	LIHC	missingness_fraction_genome_altered	1
per_project	TCGA-LIHC	LIHC	missingness_arm_gain_count	0.0410958904109589
per_project	TCGA-LIHC	LIHC	missingness_arm_loss_count	0.0410958904109589
per_project	TCGA-LIHC	LIHC	missingness_total_arm_alteration_count	0.0410958904109589
per_project	TCGA-LUAD	LUAD	n_samples	569
per_project	TCGA-LUAD	LUAD	median_purity	0.45
per_project	TCGA-LUAD	LUAD	median_ploidy	2.765
per_project	TCGA-LUAD	LUAD	median_aneuploidy_score	16
per_project	TCGA-LUAD	LUAD	median_fraction_genome_altered	NA
per_project	TCGA-LUAD	LUAD	missingness_purity	0.131810193321617
per_project	TCGA-LUAD	LUAD	missingness_ploidy	0.131810193321617
per_project	TCGA-LUAD	LUAD	missingness_aneuploidy_score	0.123022847100176
per_project	TCGA-LUAD	LUAD	missingness_fraction_genome_altered	1
per_project	TCGA-LUAD	LUAD	missingness_arm_gain_count	0.123022847100176
per_project	TCGA-LUAD	LUAD	missingness_arm_loss_count	0.123022847100176
per_project	TCGA-LUAD	LUAD	missingness_total_arm_alteration_count	0.123022847100176
per_project	TCGA-LUSC	LUSC	n_samples	485
per_project	TCGA-LUSC	LUSC	median_purity	0.5
per_project	TCGA-LUSC	LUSC	median_ploidy	2.73
per_project	TCGA-LUSC	LUSC	median_aneuploidy_score	16
per_project	TCGA-LUSC	LUSC	median_fraction_genome_altered	NA
per_project	TCGA-LUSC	LUSC	missingness_purity	0.0371134020618557
per_project	TCGA-LUSC	LUSC	missingness_ploidy	0.0371134020618557
per_project	TCGA-LUSC	LUSC	missingness_aneuploidy_score	0.0350515463917526
per_project	TCGA-LUSC	LUSC	missingness_fraction_genome_altered	1
per_project	TCGA-LUSC	LUSC	missingness_arm_gain_count	0.0350515463917526
per_project	TCGA-LUSC	LUSC	missingness_arm_loss_count	0.0350515463917526
per_project	TCGA-LUSC	LUSC	missingness_total_arm_alteration_count	0.0350515463917526
per_project	TCGA-MESO	MESO	n_samples	82
per_project	TCGA-MESO	MESO	median_purity	0.635
per_project	TCGA-MESO	MESO	median_ploidy	1.945
per_project	TCGA-MESO	MESO	median_aneuploidy_score	6
per_project	TCGA-MESO	MESO	median_fraction_genome_altered	NA
per_project	TCGA-MESO	MESO	missingness_purity	0.024390243902439
per_project	TCGA-MESO	MESO	missingness_ploidy	0.024390243902439
per_project	TCGA-MESO	MESO	missingness_aneuploidy_score	0.024390243902439
per_project	TCGA-MESO	MESO	missingness_fraction_genome_altered	1
per_project	TCGA-MESO	MESO	missingness_arm_gain_count	0.024390243902439
per_project	TCGA-MESO	MESO	missingness_arm_loss_count	0.024390243902439
per_project	TCGA-MESO	MESO	missingness_total_arm_alteration_count	0.024390243902439
per_project	TCGA-OV	OV	n_samples	412
per_project	TCGA-OV	OV	median_purity	0.805
per_project	TCGA-OV	OV	median_ploidy	2.695
per_project	TCGA-OV	OV	median_aneuploidy_score	13
per_project	TCGA-OV	OV	median_fraction_genome_altered	NA
per_project	TCGA-OV	OV	missingness_purity	0.0533980582524272
per_project	TCGA-OV	OV	missingness_ploidy	0.0533980582524272
per_project	TCGA-OV	OV	missingness_aneuploidy_score	0.0461165048543689
per_project	TCGA-OV	OV	missingness_fraction_genome_altered	1
per_project	TCGA-OV	OV	missingness_arm_gain_count	0.0461165048543689
per_project	TCGA-OV	OV	missingness_arm_loss_count	0.0461165048543689
per_project	TCGA-OV	OV	missingness_total_arm_alteration_count	0.0461165048543689
per_project	TCGA-PAAD	PAAD	n_samples	178
per_project	TCGA-PAAD	PAAD	median_purity	0.4
per_project	TCGA-PAAD	PAAD	median_ploidy	2
per_project	TCGA-PAAD	PAAD	median_aneuploidy_score	7
per_project	TCGA-PAAD	PAAD	median_fraction_genome_altered	NA
per_project	TCGA-PAAD	PAAD	missingness_purity	0.0898876404494382
per_project	TCGA-PAAD	PAAD	missingness_ploidy	0.0898876404494382
per_project	TCGA-PAAD	PAAD	missingness_aneuploidy_score	0.0898876404494382
