sample_barcode	patient_barcode	project_id	project_code	n_total_mutations	n_candidate_mutations_with_local_cn	n_copy_neutral_candidate_mutations	median_depth	median_observed_vaf	purity	ploidy	median_local_segment_mean	pct_mutations_neutral_like	pct_mutations_gain_like	pct_mutations_loss_like	eligible_for_limited_vaf_clustering	eligible_for_copy_number_aware_clustering	reason_not_copy_number_aware	readiness_class	notes
TCGA-N7-A4Y0-01A	TCGA-N7-A4Y0	TCGA-UCS	UCS	1044	637	447	82.0	0.38949546029192045	0.83	2.27	-0.0942	69.61770623742454	19.919517102615693	10.462776659959758	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-GV-A3QI-01A	TCGA-GV-A3QI	TCGA-BLCA	BLCA	632	367	123	63.0	0.4330845771144278	0.95	3.26	0.102	34.257748776508976	49.75530179445351	15.986949429037521	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-21-1080-01A	TCGA-21-1080	TCGA-LUSC	LUSC	1304	841	528	106.0	0.340560125342734	0.77	1.88	0.1186	63.3201581027668	22.134387351778656	14.545454545454545	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-94-8490-01A	TCGA-94-8490	TCGA-LUSC	LUSC	1265	772	554	148.0	0.3243243243243243	0.79	1.97	0.0873	70.27250206440958	18.249380677126343	11.47811725846408	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-G2-AA3B-01A	TCGA-G2-AA3B	TCGA-BLCA	BLCA	955	594	179	65.0	0.2424242424242424	0.84	1.82	0.0972	30.273224043715846	47.21311475409836	22.51366120218579	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-GC-A4ZW-01A	TCGA-GC-A4ZW	TCGA-BLCA	BLCA	902	571	171	60.0	0.1764705882352941	0.85	5.25	0.0301	31.50057273768614	42.955326460481096	25.544100801832762	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-43-6143-01A	TCGA-43-6143	TCGA-LUSC	LUSC	843	544	142	82.0	0.4146341463414634	0.86	3.42	0.0662	24.65923172242875	47.95539033457249	27.385377942998762	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-ND-A4WC-01A	TCGA-ND-A4WC	TCGA-UCS	UCS	5148	3422	3414	64.0	0.3333333333333333	0.73	2.0	0.006	99.76067012365377	0.03988831272437176	0.1994415636218588	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-90-7769-01A	TCGA-90-7769	TCGA-LUSC	LUSC	1331	889	220	76.0	0.2955465587044534	0.73	2.61	0.1339	25.11737089201878	44.91392801251956	29.968701095461658	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-QQ-A8VF-01A	TCGA-QQ-A8VF	TCGA-SARC	SARC	1342	676	103	56.0	0.42482876712328765	0.79	2.5	-0.1144	15.20882584712372	44.36564223798266	40.42553191489362	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-3B-A9HT-01A	TCGA-3B-A9HT	TCGA-SARC	SARC	504	271	239	47.0	0.2340425531914893	1.0	3.06	-0.02	89.22764227642277	7.926829268292683	2.845528455284553	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-F5-6814-01A	TCGA-F5-6814	TCGA-READ	READ	13465	8771	8332	51.0	0.2857142857142857	0.72	1.99	0.013	95.12510457068979	3.7189139858544378	1.155981443455776	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-X6-A7WB-01A	TCGA-X6-A7WB	TCGA-SARC	SARC	529	319	28	36.0	0.1025641025641025	0.96	1.8	0.2063	8.0078125	70.1171875	21.875	False	False	requires_allele_specific_cn	insufficient_neutral_mutations	copy_neutral_candidates_lt_50
TCGA-DX-A6YT-01A	TCGA-DX-A6YT	TCGA-SARC	SARC	833	508	84	33.0	0.0985915492957746	0.84	3.49	0.2154	16.811955168119553	66.3760896637609	16.811955168119553	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-90-7964-01A	TCGA-90-7964	TCGA-LUSC	LUSC	1231	738	433	72.0	0.3114754098360656	0.71	1.88	0.0729	60.89906700593723	23.324851569126377	15.776081424936386	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-NC-A5HN-01A	TCGA-NC-A5HN	TCGA-LUSC	LUSC	762	460	155	63.0	0.26773138832997984	0.82	3.11	0.0536	33.93103448275862	42.48275862068966	23.586206896551722	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-34-2600-01A	TCGA-34-2600	TCGA-LUSC	LUSC	580	382	125	139.5	0.2616985917956791	0.86	2.93	0.1149	31.48479427549195	45.61717352415027	22.898032200357783	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
