qc_section	feature_name	feature_category	metric	value
per_feature	mutation_prevalence_PTEN	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_PTEN	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_RB1	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_RB1	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_RB1	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_RB1	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_SMAD4	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_SMAD4	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_SMAD4	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_SMAD4	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_TERT	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_TERT	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_TERT	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_TERT	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_TP53	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_TP53	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_TP53	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_TP53	driver_mutation_prevalence	drop_reason	
per_feature	mutation_prevalence_VHL	driver_mutation_prevalence	n_missing_projects	0
per_feature	mutation_prevalence_VHL	driver_mutation_prevalence	missing_fraction	0
per_feature	mutation_prevalence_VHL	driver_mutation_prevalence	retained	TRUE
per_feature	mutation_prevalence_VHL	driver_mutation_prevalence	drop_reason	
per_feature	median_DNA_repair_score	expression	n_missing_projects	0
per_feature	median_DNA_repair_score	expression	missing_fraction	0
per_feature	median_DNA_repair_score	expression	retained	TRUE
per_feature	median_DNA_repair_score	expression	drop_reason	
per_feature	median_EMT_score	expression	n_missing_projects	0
per_feature	median_EMT_score	expression	missing_fraction	0
per_feature	median_EMT_score	expression	retained	TRUE
per_feature	median_EMT_score	expression	drop_reason	
per_feature	median_angiogenesis_score	expression	n_missing_projects	0
per_feature	median_angiogenesis_score	expression	missing_fraction	0
per_feature	median_angiogenesis_score	expression	retained	TRUE
per_feature	median_angiogenesis_score	expression	drop_reason	
per_feature	median_cell_cycle_score	expression	n_missing_projects	0
per_feature	median_cell_cycle_score	expression	missing_fraction	0
per_feature	median_cell_cycle_score	expression	retained	TRUE
per_feature	median_cell_cycle_score	expression	drop_reason	
per_feature	median_cytotoxic_t_cell_score	expression	n_missing_projects	0
per_feature	median_cytotoxic_t_cell_score	expression	missing_fraction	0
per_feature	median_cytotoxic_t_cell_score	expression	retained	TRUE
per_feature	median_cytotoxic_t_cell_score	expression	drop_reason	
per_feature	median_epithelial_score	expression	n_missing_projects	0
per_feature	median_epithelial_score	expression	missing_fraction	0
per_feature	median_epithelial_score	expression	retained	TRUE
per_feature	median_epithelial_score	expression	drop_reason	
per_feature	median_hypoxia_score	expression	n_missing_projects	0
per_feature	median_hypoxia_score	expression	missing_fraction	0
per_feature	median_hypoxia_score	expression	retained	TRUE
per_feature	median_hypoxia_score	expression	drop_reason	
per_feature	median_immune_inflammatory_score	expression	n_missing_projects	0
per_feature	median_immune_inflammatory_score	expression	missing_fraction	0
per_feature	median_immune_inflammatory_score	expression	retained	TRUE
