sample_barcode	patient_barcode	project_id	project_code	selected_gdc_file_id	selected_file_name	selected_data_type	match_level	file_size	n_candidate_files	selection_reason	selection_rank	notes
TCGA-BA-4078-01A	TCGA-BA-4078	TCGA-HNSC	HNSC	70df80c7-709a-44a7-a588-85d2989de03d	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G04_730340.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	21320	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-CR-7402-01A	TCGA-CR-7402	TCGA-HNSC	HNSC	687e3dcf-bade-4429-a0fa-1b318383f0f7	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_E10_863396.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	13704	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-CV-6935-01A	TCGA-CV-6935	TCGA-HNSC	HNSC	2051e4f7-3b3a-491b-a882-1c48f842c39b	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_G10_831508.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	33469	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-CV-6961-01A	TCGA-CV-6961	TCGA-HNSC	HNSC	1aeb14f8-1d5e-4d37-8802-856fc3ad2eb2	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B08_831490.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	19199	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-CV-7245-01A	TCGA-CV-7245	TCGA-HNSC	HNSC	a6a6dc6e-7299-4b7a-a208-7a9cabb568e0	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_D08_863726.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	25354	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-KU-A66S-01A	TCGA-KU-A66S	TCGA-HNSC	HNSC	9925e955-f83b-4a0b-b0d9-17cf56a70012	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F03_1361828.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	6655	3	sample_level_match;Masked Copy Number Segment;local_parse_check_passed;lightweight_parse_rows=94	1	best_ranked_file_selected
TCGA-QK-A6VB-01A	TCGA-QK-A6VB	TCGA-HNSC	HNSC	002e1698-c5ca-4d40-b392-40d6d2c0981c	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_E03_1376944.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	19613	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-05-4396-01A	TCGA-05-4396	TCGA-LUAD	LUAD	e600f9cc-ab76-4c74-9671-dd8e195ea5d1	IMPLY_p_TCGA_b127_144_SNP_N_GenomeWideSNP_6_F08_808470.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	32133	5	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-05-4397-01A	TCGA-05-4397	TCGA-LUAD	LUAD	ccb1a05b-6cd0-4b1f-bcfb-3ebf74659b89	LOOBY_p_TCGAb58_SNP_N_GenomeWideSNP_6_A04_680224.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	39865	5	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-50-5930-01A	TCGA-50-5930	TCGA-LUAD	LUAD	5cf81579-ee4e-4b7b-9daf-15c1296e2738	BURST_p_TCGA_b119_SNP_N_GenomeWideSNP_6_G07_787168.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	24824	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-50-5946-02A	TCGA-50-5946	TCGA-LUAD	LUAD	6e708221-b5b2-48f7-8f74-2d21af5f1f10	PHYLE_p_TCGA_189_193_Rec_SNP_N_GenomeWideSNP_6_A09_932600.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	48602	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-62-A46O-01A	TCGA-62-A46O	TCGA-LUAD	LUAD	ee191225-1dd6-4e30-8417-d36cfb046565	BUNGS_p_TCGA_257_258_N_GenomeWideSNP_6_D01_1301032.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	42778	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-78-7155-01A	TCGA-78-7155	TCGA-LUAD	LUAD	5f848be7-77b7-4b5e-be6b-137ebd32bed0	GLYPH_p_TCGA_135_141_166_SNP_N_GenomeWideSNP_6_D08_902796.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	63453	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-78-8662-01A	TCGA-78-8662	TCGA-LUAD	LUAD	e0ed37c6-b121-489e-90b7-b5f5476842e7	SHOWS_p_7TCGA_236_238_Mx_N_GenomeWideSNP_6_F03_1244588.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	32758	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
