project_code	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
KICH	0.125907918443583	0.272130514319031	0.134135453222602	0.226048778574373	0.147840564611704	0.310880427487044	0.288214253919145	0.195194102166625	0.164829082069717	0.205282078688263	0	0.193697030016906	0.13983900622703	0.178372841091284	0.146110439426999	0.128494996659156	0.226950824811419	0.24575591084285	0.141405476240972	0.143980200304329	0.188209841624969	0.0880487599606421	0.095570456409185	0.253686217820879	0.152045585726411	0.369873677105819	0.252275427218913	0.160997514356766	0.120561710742766	0.189980754724455	0.476808576775002	0.203268533284521	0.111398578712605
KIRC	0.224039512909295	0.339150206448884	0.185539757521459	0.243371134018412	0.196669037322393	0.368866860416973	0.267474031201417	0.268536325046706	0.19131548652836	0.216396174027008	0.193697030016906	0	0.167322045002874	0.19959863740016	0.181902994387995	0.176151980903973	0.2798214708652	0.30311872078311	0.146411623140364	0.229711942858371	0.20765733931704	0.147240659751015	0.140419916081996	0.329877196325723	0.193607922290031	0.394063008342621	0.28573707291058	0.243612758117768	0.159383818700003	0.203549167210995	0.500215001510894	0.303484804797679	0.145090701806589
KIRP	0.150188230073133	0.248090515094642	0.138915246059076	0.17699409183658	0.151552263648338	0.270789539204469	0.258801097336231	0.196459078024044	0.152108687907306	0.191004029525145	0.13983900622703	0.167322045002874	0	0.186071663213104	0.157417165674077	0.107082302265665	0.218621459599997	0.251628547275641	0.147694825076027	0.154179421759508	0.18096181130974	0.126020377574783	0.107607665400184	0.238976154030303	0.165633786650971	0.296583484615711	0.22214627087875	0.205772805213039	0.136648169892438	0.19235774087247	0.392051522189051	0.229380603961407	0.124443527416587
LAML	0.210578825887994	0.319641177182514	0.186667385105343	0.219968647057915	0.170287675347516	0.322510134498711	0.222796203787447	0.237740945877438	0.184250345224038	0.210895352192889	0.178372841091284	0.19959863740016	0.186071663213104	0	0.143144578951042	0.184309584496851	0.301662856888401	0.295492755752024	0.16615650597291	0.196523612563504	0.233224532234464	0.133113011816974	0.135118271240934	0.292387286573926	0.168796177637951	0.374230486272425	0.267909693828778	0.167449106002646	0.142731659039762	0.124005917879888	0.433291280635104	0.237469425290983	0.136651310973607
LGG	0.179014377325512	0.309962366923718	0.165717350534939	0.246522458305351	0.165253137196214	0.321166808456348	0.293687003892379	0.242699467431809	0.142699004534737	0.219228407402397	0.146110439426999	0.181902994387995	0.157417165674077	0.143144578951042	0	0.144333612265487	0.269490301960451	0.293294872017494	0.174403142219879	0.19595698074695	0.198285562710437	0.0959293748434532	0.100506534997112	0.288449768281396	0.16921555755218	0.368429851001105	0.265619308747677	0.244305859573677	0.129307073408682	0.197147796922904	0.431933959733359	0.242143019083984	0.122595543173464
LIHC	0.131265591756006	0.225349703148574	0.111027899061512	0.15810183456676	0.135232825379189	0.255966963070385	0.257069778679279	0.16736366455573	0.127512387214601	0.157841252802823	0.128494996659156	0.176151980903973	0.107082302265665	0.184309584496851	0.144333612265487	0	0.193927068073445	0.222702394990401	0.137659711411284	0.137148734409862	0.164289769584615	0.125669678098956	0.114543884859105	0.221163160752229	0.139607659151146	0.303721846107155	0.187680300243199	0.207482812832614	0.148049136017273	0.203730726177944	0.380947513441666	0.213776418468345	0.131792921654359
LUAD	0.188021800123498	0.153689619774513	0.165581233748945	0.186862744547426	0.241202959181814	0.205263955626665	0.3136949727375	0.151199209842242	0.192685243733062	0.165029400498434	0.226950824811419	0.2798214708652	0.218621459599997	0.301662856888401	0.269490301960451	0.193927068073445	0	0.106687100740877	0.223038464474795	0.157508002564466	0.214680575429969	0.255287392910796	0.238454352652397	0.181616536217107	0.223183498735694	0.251926519410073	0.146237082357035	0.24041313281609	0.27163345553378	0.296756161332046	0.391778936931926	0.213531963722363	0.284265260934263
LUSC	0.216609306829212	0.141268906998192	0.174780117233272	0.15527435033354	0.26488827090622	0.217202770804516	0.298690703404017	0.114483950506476	0.220352098727206	0.114726014344081	0.24575591084285	0.30311872078311	0.251628547275641	0.295492755752024	0.293294872017494	0.222702394990401	0.106687100740877	0	0.25166462525579	0.131812792855432	0.242697729240672	0.281586975677122	0.262836232734703	0.179702789989245	0.230544115995538	0.252730560323204	0.138665446062742	0.217889111450627	0.301231766848874	0.284538896238617	0.410404435636212	0.184283173123672	0.30494962957362
MESO	0.162575335625322	0.267573947259024	0.120504353279169	0.192115394912225	0.113232062445895	0.286876333272001	0.2582758162732	0.210646145129764	0.155734636868713	0.180539900881045	0.141405476240972	0.146411623140364	0.147694825076027	0.16615650597291	0.174403142219879	0.137659711411284	0.223038464474795	0.25166462525579	0	0.17725236610044	0.151649427196376	0.123987246865169	0.112521522012339	0.254444384639409	0.144742933126248	0.343885104395959	0.214030822901793	0.193815384098356	0.121645398365163	0.18072863080889	0.444682585815555	0.254286981636583	0.111547601476831
OV	0.153389255222203	0.167262394217106	0.106020291572263	0.137957971471372	0.179445667722384	0.220805378233231	0.241998019404911	0.111964243571596	0.158095727019225	0.119784198693374	0.143980200304329	0.229711942858371	0.154179421759508	0.196523612563504	0.19595698074695	0.137148734409862	0.157508002564466	0.131812792855432	0.17725236610044	0	0.203080023041616	0.175268992224827	0.161844716118723	0.160166875372364	0.150553200234417	0.305724406715933	0.165342632558415	0.162920501976185	0.203031644615819	0.203976637137372	0.408428986765175	0.141686446030634	0.190768933970368
