project_id	project_code	cancer_name	broad_group	major_cancer_group	level2_group	lineage_notes	tmb_proxy_median_nonsynonymous_count	tmb_proxy_mean_nonsynonymous_count	tmb_proxy_median_total_mutation_count	tmb_proxy_mean_total_mutation_count	mutation_prevalence_TP53	mutation_prevalence_KRAS	mutation_prevalence_BRAF	mutation_prevalence_IDH1	mutation_prevalence_IDH2	mutation_prevalence_PIK3CA	mutation_prevalence_APC	mutation_prevalence_PTEN	mutation_prevalence_NF1	mutation_prevalence_BAP1	mutation_prevalence_VHL	mutation_prevalence_RB1	mutation_prevalence_CDKN2A	mutation_prevalence_SMAD4	mutation_prevalence_ARID1A	mutation_prevalence_TERT	mutation_prevalence_EGFR	mutation_prevalence_ERBB2	mutation_prevalence_ALK	mutation_prevalence_MET	mutation_prevalence_MYC	mutation_prevalence_CTNNB1	mutation_prevalence_POLE	mutation_prevalence_MSH2	mutation_prevalence_MSH6	mutation_prevalence_MLH1	mutation_prevalence_PMS2	mutation_prevalence_BRCA1	mutation_prevalence_BRCA2	median_purity	median_ploidy	median_aneuploidy_score	median_arm_gain_count	median_arm_loss_count	median_total_arm_alteration_count	median_proliferation_score	median_immune_inflammatory_score	median_interferon_gamma_score	median_cytotoxic_t_cell_score	median_stromal_score	median_epithelial_score	median_EMT_score	median_hypoxia_score	median_cell_cycle_score	median_DNA_repair_score	median_angiogenesis_score	median_lineage_or_tissue_PC1	median_lineage_or_tissue_PC2
TCGA-KICH	KICH	Kidney Chromophobe	Carcinoma	Carcinoma	kidney	Renal epithelial carcinoma.	-0.703776946238817	-0.637676219541592	-0.689350899689676	-0.61118973805477	-0.0758048474047248	-0.537104048878288	-0.39349005017894	-0.284869821977657	-0.576145336573797	-0.770400256126945	-0.437546571361786	0.19794298413642	-0.831668631660918	-0.591323978094565	-0.0303981018752696	-0.146388609878903	-0.584093974157324	-0.575073598819231	-0.73501068746336	-0.910236338343186	-0.581358694859156	-0.800227351253783	-0.304736280830749	-0.759237235645582	-0.583364756070864	-0.304314085000771	-0.362873484504133	-0.721870330406772	-0.734876266797685	-0.728227443593675	-0.724203954039472	-0.847656937128871	-0.988584912938601	1.36743921766278	-1.67524199017341	0.903938637718227	-1.24341835819055	2.00619588019674	0.903938637718227	-1.18935657065772	-0.450155194504347	-0.881628622259817	-0.41372473729295	-0.626732684463761	0.00348842259154376	-1.31310285574159	-0.524696853413413	-1.19777563722583	-1.03297922202659	0.23195358086976	1.12743273132248	0.454072514451518
TCGA-KIRC	KIRC	Kidney Renal Clear Cell Carcinoma	Carcinoma	Carcinoma	kidney	Renal epithelial carcinoma.	-0.299657202260925	-0.517568223103907	-0.347951504645764	-0.512106890509897	-1.04590822697651	-0.501526182054666	-0.373228529154731	-0.244860941343391	-0.41255448660866	-0.644511705338267	-0.347090650126596	-0.235080361146692	-0.681303014579106	1.2343748134453	5.55827635554833	-0.718200508206489	-0.584093974157324	-0.575073598819231	-0.320202102889022	-0.115531058705086	-0.465586074528256	-0.513085987279499	-0.447521430095561	-0.441337401466174	-0.583364756070864	-0.495659311474488	-0.330520582582617	-0.550766009240245	-0.484115142730031	-0.544943751245901	-0.552069903631459	-0.380256186546464	-0.386889965914321	-0.784810107434441	-0.670350556532405	-0.893047810757766	-0.837152954029279	-0.829113072543835	-0.893047810757766	-1.08781722451989	0.119968579258504	0.640137609371669	0.285969667766259	0.191863572874245	-0.746159410588613	0.873686935372725	4.18574609591111	-1.10587514466709	-0.721290478917824	5.20886314224173	1.19072051355282	-3.17539298922083
TCGA-KIRP	KIRP	Kidney Renal Papillary Cell Carcinoma	Carcinoma	Carcinoma	kidney	Renal epithelial carcinoma.	-0.128212462391517	-0.413613812348684	-0.158285174065814	-0.404581343030466	-1.07174286507064	-0.420403599190875	-0.287152989484508	-0.284869821977657	-0.146864382764572	-0.687813795503167	-0.358424370754173	-0.312340961956662	-0.689321434234962	0.35423670621359	-0.0864847227083054	-0.842343880869715	-0.522156689251156	-0.425176472934799	-0.26850863186304	1.87029277244732	-0.505408571592431	-0.423481590010929	-0.453196151001711	2.29951530598608	-0.583364756070864	-0.428190298948271	-0.715525410522648	0.400622556678598	-0.405863444439416	-0.247270236723628	-0.498354313433213	-0.387714709162141	-0.297809242374378	0.757635242218566	-0.251645792515319	-0.174253231367369	1.19417406677706	-1.39617486309195	-0.174253231367369	-1.1503019627163	-0.418559857738818	-0.539969336543534	-0.40958226990302	-0.740053254311157	-0.194420711385933	-0.956425519371383	-0.0394957289962121	-1.16880053103549	-0.823035231563617	-0.61340066675481	0.92023014772392	0.519241025471007
TCGA-LAML	LAML	Acute Myeloid Leukemia	Hematolymphoid	Hematolymphoid	myeloid	Leukemia; single-sample clonal analyses require special handling.	-0.789499316173521	-0.598233173648696	-0.787977391591251	-0.586466002474255	-0.937768094687921	-0.255022390491	-0.39349005017894	-0.0205254320726834	2.88263263411768	-0.770400256126945	-0.278171852995022	-0.543809968431874	-0.519789132939689	-0.591323978094565	-0.218688900386173	-0.842343880869715	-0.584093974157324	-0.424105779178481	-0.656704985273306	-0.910236338343186	-0.581358694859156	-0.547269482990724	-0.333216337557424	-0.759237235645582	0.296395261636795	-0.537201367222071	-0.389182437715039	-0.721870330406772	-0.403513352851143	-0.728227443593675	-0.269278249389721	-0.847656937128871	-0.591036465797558	1.29569757349287	-0.642436905597933	-1.61184239014816	-1.24341835819055	-1.39617486309195	-1.61184239014816	0.313972871540398	0.810943592499048	-0.274340121718536	0.430869327178695	-0.79986030010764	-1.29576741298177	0.97300184362062	-0.731056134147948	0.219570033571395	2.82922379806603	-0.451173041800934	-0.6750417633871	-0.56609806035671
TCGA-LGG	LGG	Brain Lower Grade Glioma	CNS/glial	CNS/glial	adult_glioma	Lower-grade glioma.	-0.605808523456298	-0.531968341887993	-0.628657673904092	-0.526464690826363	0.509186498057281	-0.512077792747603	-0.350732848017586	5.45632848652886	1.84039630644734	-0.106254384570708	-0.416337008081038	-0.18703525930682	0.230052880298816	-0.591323978094565	-0.218688900386173	-0.536705729541051	-0.4844762117417	-0.575073598819231	-0.339016071825446	-0.53756085866499	0.884507562562507	-0.732900161982246	-0.740600266856842	-0.386540978844628	-0.583364756070864	-0.449536572773749	-0.592201527226567	-0.481153224583141	-0.558485362035267	-0.47037586120327	-0.360955292532066	-0.601071940386251	-0.565339417883498	0.578281131793797	-0.614523254663461	-1.25244510045296	-1.24341835819055	-0.829113072543835	-1.25244510045296	-1.1971861386279	-0.522414028555137	-1.03405253213551	-0.563806588467846	-0.69332654717863	-1.21479800258795	1.09591311492894	-1.18489937236172	-1.20164752614669	-0.91532796193609	-0.351361011793382	1.34319711858251	0.339596564449474
TCGA-LIHC	LIHC	Liver Hepatocellular Carcinoma	Carcinoma	Carcinoma	gi_hepatobiliary	Hepatocellular carcinoma.	0.0922164888691515	-0.300830375904106	0.122420995192514	-0.290499449209023	-0.1328805064933	-0.446940961722533	-0.39349005017894	-0.122642032008577	-0.0786498750359821	-0.49390531124405	-0.254156484474003	-0.387330578438015	-0.356062732373706	0.382733055603699	-0.218688900386173	0.353173803818613	-0.153417730070049	-0.343451738548492	0.136006164294499	-0.373175236122004	-0.229283054948747	-0.703202415481651	0.00795913651759138	-0.544400818026622	-0.414643656784464	3.50546663320026	-0.573525308501038	-0.548422114429745	-0.0993857469002065	-0.542433015734287	-0.375219851842403	-0.373853436538487	-0.37864756937974	0.363056199284075	-0.251645792515319	-0.174253231367369	-0.0246221457067435	-0.26205128199572	-0.174253231367369	-0.787285040037193	-0.36438289684122	-0.279150930078744	-0.374334854672795	-0.526230406225974	-0.327417228625264	-0.613495820204596	-0.627888868833724	-0.813311110714392	-0.967247492580677	-0.179900937100308	0.716943478373186	0.361458670388698
TCGA-LUAD	LUAD	Lung Adenocarcinoma	Carcinoma	Carcinoma	lung_adeno	Lung adenocarcinoma.	1.48826651352005	0.579655991885607	1.23765901900262	0.434890930563587	0.586206668573323	1.40623531997614	0.159873810482243	-0.206820863271092	-0.469768158213339	-0.38838344705527	-0.104232134004231	-0.40041308832201	1.51189212337085	-0.341390187374097	-0.196848491420057	0.529996741365242	0.1833187825887	0.279260986845473	-0.0606733575314383	0.12329952621251	2.12881934170954	-0.177835408251526	1.22024812746439	0.687793644011126	-0.150442427497675	0.0300776717211979	0.672030109947678	0.390758823048678	0.0804279151446008	0.225234295157492	0.283188643251715	0.672011584096884	0.576456425542833	-1.57396819330342	1.49295739088921	1.26333592741343	0.787908662615792	1.15560319437457	1.26333592741343	-0.484565301211851	0.0248906140272315	0.762848301601634	-0.0379036820440562	0.0625935381189425	0.496398828565483	-0.618302212028454	0.305828751205412	-0.454978563076789	-0.473557019978224	0.1333492635686	0.299416876002899	-0.240384292763941
TCGA-LUSC	LUSC	Lung Squamous Cell Carcinoma	Carcinoma	Carcinoma	pan_squamous	Lung squamous carcinoma.	1.89238625749794	0.549345052532167	1.66251159950171	0.434628439082277	1.67893932752964	-0.428536537746411	-0.14617416468756	-0.239086463726074	-0.576145336573797	0.125960834024737	-0.127012326296649	0.330999699339394	1.49959691298725	-0.408060670208036	-0.193065822650669	0.720326820385944	2.04485643218986	-0.182868541608211	0.0109116715429255	0.504393678332199	-0.0514304121074076	-0.143058456384805	0.553335531372387	-0.11251317435964	-0.0754620654355148	-0.347050101738288	0.805705122807042	-0.199737556537783	0.0303329365427821	0.530194609020942	0.19502736669611	1.20264223166303	0.847515131589102	-1.21525997245389	1.39525961261855	1.26333592741343	0.787908662615792	1.43913408964863	1.26333592741343	0.805181237920953	-0.0781227568214916	0.338859631400038	-0.0872688783337741	0.0132005809908005	0.251605163362571	-0.197517593043847	1.43191843189367	0.769931552549948	0.503448046404858	-0.283479226878832	-0.790626373707948	0.319333876249555
TCGA-MESO	MESO	Mesothelioma	Mesothelial	Mesothelial	mesothelial	Mesothelial malignancy.	-0.611931549880205	-0.646751329268298	-0.583137754564904	-0.616200481386356	-0.57638982851673	-0.456836910312799	-0.302066113850191	-0.284869821977657	-0.576145336573797	-0.581055687867552	-0.437546571361786	-0.344803078718429	-1.18379064634618	3.31084352885519	-0.218688900386173	-0.562264320592925	-0.584093974157324	-0.575073598819231	-0.601318025187659	0.285052090380784	-0.581358694859156	-0.800227351253783	-0.401985255019393	-0.759237235645582	0.167649893191771	-0.537201367222071	-0.452708934492591	0.0501857529056043	-0.16913470640115	-0.728227443593675	0.0524984685332726	-0.847656937128871	-0.988584912938601	-0.246747776160137	-0.79596198573753	-0.533650521062567	-0.837152954029279	-0.26205128199572	-0.533650521062567	-0.644125357508294	-0.159453580497918	0.174751111577962	0.0319856534596359	0.976415619277575	1.5495047413485	0.269020763572779	0.389635692424576	-0.64582484771798	-0.326500780317162	0.53944595660914	0.419032587728697	-0.463340268347517
TCGA-OV	OV	Ovarian Serous Cystadenocarcinoma	Carcinoma	Carcinoma	gynecologic	High-grade serous ovarian carcinoma-dominated cohort.	-0.115966409543702	-0.384442583335879	-0.158285174065814	-0.393177312226635	1.91756408552107	-0.441251058164161	-0.357097997853904	-0.266904669265669	-0.282317110908259	-0.619659920231118	-0.302155427118176	-0.405181382636343	0.508446220345113	-0.375589258859209	-0.218688900386173	0.0495599615651125	-0.499306040450822	-0.369874620666755	-0.628575752447753	-0.672339126801036	-0.269447023579304	-0.370444565369944	-0.00472791628277802	-0.28341628642883	-0.284417177238164	-0.499894181235164	-0.675771229002762	-0.107223739808569	-0.397079121512375	-0.0698297138006972	-0.569617549546838	1.04123201850149	0.0245846732218245	0.972860174728288	1.2975618343479	0.724239992870627	-0.0246221457067435	0.872072299100511	0.724239992870627	0.474588071589798	-0.324699603726097	0.547952950124862	-0.383581544924791	-0.304994107510177	0.281984744980398	-0.995947962713702	0.541617461608734	0.61919610859712	0.0128549868046953	-0.472760990358815	-0.519380069567894	0.573385832946921
TCGA-PAAD	PAAD	Pancreatic Adenocarcinoma	Carcinoma	Carcinoma	gi_pancreatic	Pancreatic ductal adenocarcinoma-dominated cohort.	-0.520086153521593	-0.252024763236814	-0.522444528779319	-0.263485037021575	0.922912303388647	3.86315852484101	-0.309256760527733	-0.2432875583971	-0.236096940578849	-0.552334882569779	-0.312195669275567	-0.543809968431874	-0.792104360347967	-0.391587563881157	-0.218688900386173	-0.713318465461306	2.9484190391428	3.81825957949025	-0.180711896679833	0.741679130567474	-0.461033218672546	-0.402316097806273	-0.433536537375539	-0.538969560277827	-0.583364756070864	-0.191795510444413	-0.481854986384912	-0.366204044835901	-0.474253750210517	-0.347244487589873	-0.366397220045286	-0.361875258152772	-0.675906359007443	-1.93267641415296	-0.642436905597933	-0.353951876214968	-0.837152954029279	0.305010508552395	-0.353951876214968	-0.838985598544005	-0.298373185821657	-0.146093623879865	-0.304026106826921	1.93934010165485	1.08731683167686	0.723221897103804	-0.240317027128513	-0.84225799956428	-0.718260413441378	0.136738884282671	0.726612373756766	-0.18534131025952
TCGA-PCPG	PCPG	Pheochromocytoma and Paraganglioma	Neuroendocrine/adrenal/paraganglioma	Neuroendocrine/adrenal/paraganglioma	paraganglioma	Pheochromocytoma/paraganglioma.	-0.83848352756478	-0.739235408410669	-0.818324004484043	-0.708041448597064	-1.13756375675417	-0.537104048878288	-0.352746774206345	-0.244643501774727	-0.576145336573797	-0.770400256126945	-0.407230728194195	-0.543809968431874	0.837083524890958	-0.591323978094565	-0.0160716280755271	-0.842343880869715	-0.489168352725044	-0.575073598819231	-0.73501068746336	-0.910236338343186	-0.581358694859156	-0.800227351253783	-0.624363004420867	-0.759237235645582	-0.583364756070864	-0.537201367222071	-0.658134290919998	-0.721870330406772	-0.734876266797685	-0.728227443593675	-0.724203954039472	-0.847656937128871	-0.837343655874074	0.50653948762389	-0.809918811204767	-0.893047810757766	-1.24341835819055	-0.545582177269777	-0.893047810757766	-1.24708879205188	-0.510397986608765	-0.921956620283991	-0.507100975216813	-0.378049182957224	-1.16897524644028	-0.417728111901626	-1.0513888686896	-1.25083846711214	-1.10383930471305	0.51313594191825	1.34961578047533	0.0663181658420989
TCGA-PRAD	PRAD	Prostate Adenocarcinoma	Carcinoma	Carcinoma	prostate	Prostate adenocarcinoma.	-0.618054576304112	-0.574060743951939	-0.628657673904092	-0.559660401061126	-0.753802212588706	-0.510670694009332	-0.288113866538976	-0.210556138068628	-0.576145336573797	-0.598925556759503	-0.31433519270475	-0.248896143916769	-1.04379032725445	-0.591323978094565	-0.143826293749308	-0.703991326998048	-0.549021053788771	-0.362869836271992	-0.64695608259101	-0.910236338343186	-0.452334991478334	-0.58688939006807	-0.671030986321405	-0.444316382509355	-0.459703709405129	-0.197690991935599	-0.579209153979347	-0.467618929476592	-0.455413568288553	-0.455878181872082	-0.596313193696168	-0.760840532653223	-0.541542482418554	-0.426101886584905	-0.698264207466877	-1.43214374530056	-1.24341835819055	-1.11264396781789	-1.43214374530056	-1.18054726530907	-0.424508151028109	-0.674698634389017	-0.465733696746871	0.273763078070884	0.283544271228924	-0.920140599146299	-1.051471778072	-1.18892249718175	-0.948022022835612	-0.282245422185588	1.08150823305701	0.596339198417109
